variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
BA_Forest,monthly,CAU,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thousand_km2
BA_Forest,monthly,CAU,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.104,0.0,thousand_km2
BA_Forest,monthly,CAU,2003,0.001,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.064,0.0,thousand_km2
BA_Forest,monthly,CAU,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,thousand_km2
BA_Forest,monthly,CAU,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thousand_km2
BA_Forest,monthly,CAU,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,thousand_km2
BA_Forest,monthly,CAU,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,thousand_km2
BA_Forest,monthly,CAU,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thousand_km2
BA_Forest,monthly,CAU,2009,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0,thousand_km2
BA_Forest,monthly,CAU,2010,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,thousand_km2
BA_Forest,monthly,CAU,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.194,0.026,0.001,thousand_km2
BA_Forest,monthly,CAU,2012,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.076,0.051,0.012,thousand_km2
BA_Forest,monthly,CAU,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,thousand_km2
BA_Forest,monthly,CAU,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thousand_km2
BA_Forest,monthly,CAU,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.003,thousand_km2
BA_Forest,monthly,CAU,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thousand_km2
BA_Forest,monthly,CAU,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thousand_km2
BA_Forest,monthly,CAU,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,thousand_km2
BA_Forest,monthly,CAU,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,thousand_km2
BA_Forest,monthly,CAU,2020,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.008,thousand_km2
BA_Forest,monthly,CAU,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thousand_km2
BA_Forest,monthly,CAU,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,thousand_km2
BA_Forest,monthly,CAU,2023,0.0,0.0,0.0,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,thousand_km2
BA_Forest,monthly,CAU,2024,0.0,0.0,,,,,,,,,,,thousand_km2
