variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
BA_Forest,monthly,EAU,2001,0.101,0.0,0.005,0.003,0.0,0.004,0.041,0.79,0.803,3.414,2.257,11.887,thousand_km2
BA_Forest,monthly,EAU,2002,11.873,0.041,0.003,0.0,0.029,0.163,0.535,0.859,2.753,20.243,10.947,8.639,thousand_km2
BA_Forest,monthly,EAU,2003,4.064,0.23,0.0,0.001,0.011,0.004,0.292,0.442,5.537,1.212,2.472,0.264,thousand_km2
BA_Forest,monthly,EAU,2004,0.104,0.034,0.075,0.014,0.045,0.088,0.029,0.518,0.704,2.984,0.851,0.219,thousand_km2
BA_Forest,monthly,EAU,2005,0.21,0.063,0.027,0.005,0.021,0.017,0.049,0.689,1.161,2.9,0.495,1.612,thousand_km2
BA_Forest,monthly,EAU,2006,0.344,0.052,0.026,0.015,0.016,0.051,0.034,0.376,0.307,0.58,9.338,4.174,thousand_km2
BA_Forest,monthly,EAU,2007,0.699,0.088,0.027,0.002,0.0,0.0,0.109,0.641,0.822,1.232,0.197,0.038,thousand_km2
BA_Forest,monthly,EAU,2008,0.0,0.012,0.004,0.016,0.006,0.002,0.023,0.143,0.422,1.324,1.323,0.611,thousand_km2
BA_Forest,monthly,EAU,2009,0.116,0.08,0.018,0.003,0.011,0.012,0.2,1.393,5.473,3.165,6.021,4.381,thousand_km2
BA_Forest,monthly,EAU,2010,0.457,0.013,0.015,0.0,0.093,0.015,0.017,0.115,0.182,0.047,0.01,0.0,thousand_km2
BA_Forest,monthly,EAU,2011,0.005,0.003,0.003,0.011,0.007,0.046,0.063,0.362,4.688,4.741,5.184,0.632,thousand_km2
BA_Forest,monthly,EAU,2012,3.229,0.026,0.002,0.002,0.033,0.012,0.019,1.08,3.774,12.292,6.691,9.906,thousand_km2
BA_Forest,monthly,EAU,2013,6.813,0.448,0.032,0.182,0.043,0.016,0.21,2.111,4.322,12.062,7.628,6.051,thousand_km2
BA_Forest,monthly,EAU,2014,2.339,0.077,0.009,0.007,0.017,0.008,0.189,0.257,0.295,1.365,1.868,0.241,thousand_km2
BA_Forest,monthly,EAU,2015,0.002,0.004,0.185,0.018,0.112,0.028,0.099,0.587,2.108,1.392,1.061,1.394,thousand_km2
BA_Forest,monthly,EAU,2016,0.304,0.112,0.082,0.054,0.077,0.114,0.101,0.129,0.91,2.455,3.835,2.457,thousand_km2
BA_Forest,monthly,EAU,2017,0.241,0.724,0.018,0.02,0.02,0.007,0.026,1.427,2.179,0.535,0.532,0.616,thousand_km2
BA_Forest,monthly,EAU,2018,0.819,0.663,0.036,0.07,0.085,0.017,0.25,1.894,0.894,1.929,13.548,5.608,thousand_km2
BA_Forest,monthly,EAU,2019,1.124,1.998,0.157,0.004,0.007,0.029,0.076,1.53,6.334,5.345,37.512,48.406,thousand_km2
BA_Forest,monthly,EAU,2020,7.607,0.24,0.001,0.034,0.014,0.002,0.007,0.301,0.682,0.982,2.723,1.035,thousand_km2
BA_Forest,monthly,EAU,2021,0.049,0.036,0.081,0.051,0.02,0.086,0.065,0.094,0.45,0.949,0.277,0.005,thousand_km2
BA_Forest,monthly,EAU,2022,0.018,0.073,0.219,0.1,0.0,0.0,0.011,0.181,0.012,0.061,0.233,0.041,thousand_km2
BA_Forest,monthly,EAU,2023,0.018,0.273,0.696,0.092,0.21,0.089,0.145,0.449,1.764,5.022,1.175,6.028,thousand_km2
BA_Forest,monthly,EAU,2024,0.626,0.018,,,,,,,,,,,thousand_km2
