variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
BA_Forest,monthly,ESAF,2001,0.025,0.0,0.004,0.029,0.512,35.423,18.205,245.509,186.953,29.49,3.639,0.05,thousand_km2
BA_Forest,monthly,ESAF,2002,0.036,0.111,0.666,2.683,10.339,17.533,91.656,167.717,202.461,116.188,13.881,0.409,thousand_km2
BA_Forest,monthly,ESAF,2003,0.053,0.032,0.04,0.269,6.34,11.291,39.462,206.207,172.402,112.788,3.624,0.34,thousand_km2
BA_Forest,monthly,ESAF,2004,0.085,0.11,0.001,0.043,0.944,8.431,42.795,174.737,252.614,83.849,2.671,0.031,thousand_km2
BA_Forest,monthly,ESAF,2005,0.0,0.0,0.077,2.267,28.906,42.938,70.055,220.399,94.659,33.026,4.746,0.329,thousand_km2
BA_Forest,monthly,ESAF,2006,0.01,0.004,0.016,0.024,2.001,10.996,53.64,174.638,241.692,118.312,9.894,0.061,thousand_km2
BA_Forest,monthly,ESAF,2007,0.01,0.038,0.06,0.124,1.404,13.038,54.282,203.382,244.378,74.217,6.113,0.056,thousand_km2
BA_Forest,monthly,ESAF,2008,0.007,0.033,0.03,0.125,1.908,11.904,40.944,138.232,259.393,38.479,2.954,0.349,thousand_km2
BA_Forest,monthly,ESAF,2009,0.001,0.006,0.035,0.055,0.586,6.449,20.526,98.384,228.437,57.121,2.138,0.113,thousand_km2
BA_Forest,monthly,ESAF,2010,1.1,0.107,0.008,0.087,1.465,9.464,33.131,159.145,345.17,127.857,9.931,0.265,thousand_km2
BA_Forest,monthly,ESAF,2011,0.0,0.009,0.041,0.066,1.753,16.561,73.88,168.854,246.376,37.704,4.234,0.033,thousand_km2
BA_Forest,monthly,ESAF,2012,0.126,0.036,0.014,0.112,2.535,12.088,33.865,169.849,186.802,54.815,1.509,0.043,thousand_km2
BA_Forest,monthly,ESAF,2013,0.054,0.009,0.057,0.366,9.221,29.185,55.487,238.424,305.201,30.598,7.342,0.456,thousand_km2
BA_Forest,monthly,ESAF,2014,0.003,0.01,0.008,0.06,0.947,9.27,42.844,157.341,221.082,80.866,4.853,0.318,thousand_km2
BA_Forest,monthly,ESAF,2015,0.002,0.012,0.026,0.068,1.875,13.825,64.844,188.0,219.533,60.428,5.492,0.069,thousand_km2
BA_Forest,monthly,ESAF,2016,0.062,0.054,0.006,0.16,3.151,16.848,74.217,228.733,357.073,90.291,6.023,0.058,thousand_km2
BA_Forest,monthly,ESAF,2017,0.005,0.004,0.005,0.035,0.118,2.634,25.568,157.526,252.255,108.313,1.786,0.127,thousand_km2
BA_Forest,monthly,ESAF,2018,0.187,0.007,0.003,0.032,0.548,5.602,31.226,245.365,362.435,46.021,6.855,0.104,thousand_km2
BA_Forest,monthly,ESAF,2019,0.037,0.06,0.371,0.071,3.148,16.84,79.458,261.623,242.806,45.796,6.455,0.426,thousand_km2
BA_Forest,monthly,ESAF,2020,0.044,0.016,0.014,0.118,2.7,15.834,62.168,108.894,216.83,27.488,6.651,0.157,thousand_km2
BA_Forest,monthly,ESAF,2021,0.109,0.001,0.056,0.068,1.391,10.963,39.969,142.423,173.005,49.654,12.491,2.242,thousand_km2
BA_Forest,monthly,ESAF,2022,0.038,0.005,0.012,0.13,1.226,7.004,20.661,161.414,171.972,163.047,5.0,0.103,thousand_km2
BA_Forest,monthly,ESAF,2023,0.082,0.008,0.022,0.322,2.705,15.867,44.958,145.67,166.842,53.662,1.004,0.381,thousand_km2
BA_Forest,monthly,ESAF,2024,0.015,0.13,,,,,,,,,,,thousand_km2
