variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
BA_Forest,monthly,NWN,2001,0.085,0.0,0.0,0.059,0.151,0.11,0.049,0.424,0.574,0.28,0.0,0.0,thousand_km2
BA_Forest,monthly,NWN,2002,0.0,0.0,0.0,0.28,3.644,13.339,5.395,5.477,0.075,0.139,0.543,0.0,thousand_km2
BA_Forest,monthly,NWN,2003,0.012,0.0,0.118,0.189,0.345,2.142,2.952,9.021,0.715,0.828,0.201,0.027,thousand_km2
BA_Forest,monthly,NWN,2004,0.0,0.0,0.448,0.332,0.103,16.539,17.174,16.192,2.154,0.066,0.092,0.0,thousand_km2
BA_Forest,monthly,NWN,2005,0.022,0.418,0.084,0.014,0.207,3.019,4.791,11.701,0.872,0.006,0.13,0.05,thousand_km2
BA_Forest,monthly,NWN,2006,0.238,0.005,0.283,0.099,0.012,10.674,14.738,0.632,0.208,0.095,0.011,0.038,thousand_km2
BA_Forest,monthly,NWN,2007,0.0,0.0,0.132,0.0,0.125,4.534,2.56,0.196,0.614,0.12,0.0,0.003,thousand_km2
BA_Forest,monthly,NWN,2008,0.0,0.049,0.04,0.081,0.236,1.932,2.626,1.145,0.667,0.263,0.004,0.0,thousand_km2
BA_Forest,monthly,NWN,2009,0.0,0.0,0.069,0.538,0.083,2.225,12.542,9.541,0.331,0.154,0.064,0.0,thousand_km2
BA_Forest,monthly,NWN,2010,0.0,0.14,0.095,0.045,0.32,6.76,7.271,8.921,0.464,0.071,0.0,0.0,thousand_km2
BA_Forest,monthly,NWN,2011,0.0,0.0,0.116,0.309,4.205,8.503,1.57,0.029,0.593,0.111,0.036,0.073,thousand_km2
BA_Forest,monthly,NWN,2012,0.0,0.025,0.012,0.18,0.2,1.928,13.417,3.303,4.236,0.107,0.0,0.0,thousand_km2
BA_Forest,monthly,NWN,2013,0.0,0.0,0.068,0.353,0.61,2.35,11.099,9.21,1.304,0.117,0.024,0.0,thousand_km2
BA_Forest,monthly,NWN,2014,0.026,0.0,0.0,0.409,1.458,4.745,21.034,18.902,1.394,0.024,0.003,0.006,thousand_km2
BA_Forest,monthly,NWN,2015,0.0,0.0,0.217,0.187,4.04,54.359,57.338,2.902,0.111,0.032,0.01,0.032,thousand_km2
BA_Forest,monthly,NWN,2016,0.0,0.003,0.264,0.374,16.381,1.45,3.589,0.574,0.062,0.041,0.044,0.114,thousand_km2
BA_Forest,monthly,NWN,2017,0.028,0.0,0.009,0.049,0.128,1.849,15.978,29.103,3.68,0.078,0.271,0.173,thousand_km2
BA_Forest,monthly,NWN,2018,0.0,0.0,0.0,0.35,0.698,1.268,3.259,38.597,1.092,0.586,0.212,0.0,thousand_km2
BA_Forest,monthly,NWN,2019,0.0,0.0,0.396,0.008,12.111,10.208,15.503,1.316,1.256,0.283,0.084,0.024,thousand_km2
BA_Forest,monthly,NWN,2020,0.017,0.0,0.0,0.0,0.013,0.126,0.034,0.233,1.265,0.0,0.98,0.286,thousand_km2
BA_Forest,monthly,NWN,2021,0.0,0.007,0.114,0.206,0.203,1.892,29.548,15.565,0.319,0.189,0.001,0.0,thousand_km2
BA_Forest,monthly,NWN,2022,0.0,0.0,0.0,0.0,0.164,11.219,22.41,8.228,4.372,2.621,0.285,0.0,thousand_km2
BA_Forest,monthly,NWN,2023,0.0,0.0,0.0,1.673,49.709,51.378,59.202,76.992,62.404,1.798,0.03,0.046,thousand_km2
BA_Forest,monthly,NWN,2024,0.086,0.0,,,,,,,,,,,thousand_km2
