year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,region
2001,0.005,0.013000000000000001,0.106,0.001,0.007,0.007,0.024,0.026000000000000002,0.023,0.056999999999999995,0.035,0.011,BA_Forest_NonForest,monthly,WCA
2002,0.011,0.026000000000000002,0.009,0.06,0.306,0.177,0.29000000000000004,0.081,0.020000000000000004,0.017000000000000005,0.436,0.07200000000000001,BA_Forest_NonForest,monthly,WCA
2003,0.108,0.016,0.283,1.026,0.019,0.08299999999999999,0.010000000000000002,0.027,0.006,0.005,0.0,0.0,BA_Forest_NonForest,monthly,WCA
2004,0.132,0.002,0.246,0.085,0.014,0.058,0.07400000000000001,0.04,0.025,0.04000000000000001,0.015000000000000003,0.001,BA_Forest_NonForest,monthly,WCA
2005,0.0,0.21400000000000002,0.011,0.907,0.011,0.355,0.004,0.017,0.019000000000000003,0.013999999999999999,0.028000000000000004,0.004,BA_Forest_NonForest,monthly,WCA
2006,0.004,0.334,0.07500000000000001,0.028999999999999998,0.07700000000000001,0.187,0.019000000000000003,0.132,0.028,0.176,0.019,0.003,BA_Forest_NonForest,monthly,WCA
2007,0.020999999999999998,0.371,1.338,0.08600000000000001,0.031,0.48900000000000005,0.182,0.083,0.007,0.075,0.013,0.008,BA_Forest_NonForest,monthly,WCA
2008,0.019,0.015000000000000001,0.486,0.0,0.009000000000000001,0.0,0.021,0.033,0.006,0.051000000000000004,0.031000000000000003,0.015,BA_Forest_NonForest,monthly,WCA
2009,0.082,0.023,0.21700000000000003,0.022000000000000002,0.089,0.05,0.017,0.011000000000000001,0.006,0.105,0.005,0.0,BA_Forest_NonForest,monthly,WCA
2010,0.007,0.08800000000000001,0.658,0.003,0.018,0.008,0.014000000000000002,0.048,0.005,0.9060000000000002,1.294,0.7480000000000001,BA_Forest_NonForest,monthly,WCA
2011,0.028999999999999998,0.0,0.158,0.005,0.011,0.05800000000000001,0.001,0.002,0.005,0.099,0.0,0.004,BA_Forest_NonForest,monthly,WCA
2012,0.0,0.020999999999999998,0.9790000000000002,0.259,0.10800000000000001,0.162,0.003,0.0,0.006,0.12900000000000003,0.274,0.0,BA_Forest_NonForest,monthly,WCA
2013,0.136,0.185,0.034,0.04900000000000001,0.045000000000000005,0.005,0.001,0.005,0.007,0.07900000000000001,0.029,0.045000000000000005,BA_Forest_NonForest,monthly,WCA
2014,0.003,0.124,0.046000000000000006,0.033,0.0,0.35,0.028999999999999998,0.023000000000000003,0.009000000000000001,0.012,0.036000000000000004,0.023,BA_Forest_NonForest,monthly,WCA
2015,0.319,0.22000000000000003,0.069,0.028999999999999998,0.0,0.031,0.002,0.026000000000000002,0.054000000000000006,0.232,0.054000000000000006,0.016999999999999998,BA_Forest_NonForest,monthly,WCA
2016,0.003,0.365,0.004,0.049999999999999996,0.135,0.361,0.002,0.013000000000000001,0.0,0.031,0.15900000000000003,0.028,BA_Forest_NonForest,monthly,WCA
2017,0.001,0.11299999999999999,1.635,0.016,0.006,0.037,0.004,0.028999999999999998,0.155,0.18500000000000003,0.098,0.02,BA_Forest_NonForest,monthly,WCA
2018,0.001,0.001,0.10500000000000001,0.051,0.9179999999999999,0.064,0.001,0.0,0.028999999999999998,0.196,0.23,0.0,BA_Forest_NonForest,monthly,WCA
2019,0.038,0.009000000000000001,0.031,0.078,0.041,0.132,0.041,0.063,0.020999999999999998,0.276,0.9319999999999999,0.3610000000000001,BA_Forest_NonForest,monthly,WCA
2020,0.003,0.37900000000000006,0.43000000000000005,0.098,0.171,0.05600000000000001,0.048,0.014000000000000002,0.10700000000000001,0.35700000000000004,0.111,0.124,BA_Forest_NonForest,monthly,WCA
2021,0.069,0.019000000000000003,0.081,0.05,0.022000000000000002,0.41000000000000003,0.038,0.11200000000000003,0.109,0.32200000000000006,0.036000000000000004,0.009000000000000001,BA_Forest_NonForest,monthly,WCA
2022,0.079,0.012,0.043000000000000003,0.433,0.9540000000000001,1.3219999999999998,0.198,0.311,0.078,0.082,0.164,0.007,BA_Forest_NonForest,monthly,WCA
2023,0.09400000000000001,0.01,0.052000000000000005,0.08499999999999999,0.003,0.03,0.038,0.11399999999999999,0.035,0.3320000000000001,0.04200000000000001,0.027999999999999997,BA_Forest_NonForest,monthly,WCA
2024,0.031000000000000003,0.428,,,,,,,,,,,BA_Forest_NonForest,monthly,WCA
