year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,seasonal_djf,EAS
2002,1.6420000000000003,BA_Forest_NonForest,seasonal_djf,EAS
2003,4.966,BA_Forest_NonForest,seasonal_djf,EAS
2004,13.525000000000002,BA_Forest_NonForest,seasonal_djf,EAS
2005,12.241000000000001,BA_Forest_NonForest,seasonal_djf,EAS
2006,4.244000000000001,BA_Forest_NonForest,seasonal_djf,EAS
2007,11.336,BA_Forest_NonForest,seasonal_djf,EAS
2008,13.106000000000002,BA_Forest_NonForest,seasonal_djf,EAS
2009,11.838000000000001,BA_Forest_NonForest,seasonal_djf,EAS
2010,11.391999999999998,BA_Forest_NonForest,seasonal_djf,EAS
2011,3.894,BA_Forest_NonForest,seasonal_djf,EAS
2012,3.513000000000001,BA_Forest_NonForest,seasonal_djf,EAS
2013,1.447,BA_Forest_NonForest,seasonal_djf,EAS
2014,9.352000000000002,BA_Forest_NonForest,seasonal_djf,EAS
2015,2.9440000000000004,BA_Forest_NonForest,seasonal_djf,EAS
2016,7.943,BA_Forest_NonForest,seasonal_djf,EAS
2017,0.8680000000000001,BA_Forest_NonForest,seasonal_djf,EAS
2018,2.846,BA_Forest_NonForest,seasonal_djf,EAS
2019,8.187000000000001,BA_Forest_NonForest,seasonal_djf,EAS
2020,2.2780000000000005,BA_Forest_NonForest,seasonal_djf,EAS
2021,3.648,BA_Forest_NonForest,seasonal_djf,EAS
2022,1.4310000000000003,BA_Forest_NonForest,seasonal_djf,EAS
2023,9.396999999999998,BA_Forest_NonForest,seasonal_djf,EAS
2024,2.79,BA_Forest_NonForest,seasonal_djf,EAS
