variable,timescale,region,year,sum,unit
BA_Forest,seasonal_jja,CAF,2001,167.886,thousand_km2
BA_Forest,seasonal_jja,CAF,2002,269.692,thousand_km2
BA_Forest,seasonal_jja,CAF,2003,222.489,thousand_km2
BA_Forest,seasonal_jja,CAF,2004,176.563,thousand_km2
BA_Forest,seasonal_jja,CAF,2005,296.493,thousand_km2
BA_Forest,seasonal_jja,CAF,2006,252.094,thousand_km2
BA_Forest,seasonal_jja,CAF,2007,274.057,thousand_km2
BA_Forest,seasonal_jja,CAF,2008,257.528,thousand_km2
BA_Forest,seasonal_jja,CAF,2009,194.676,thousand_km2
BA_Forest,seasonal_jja,CAF,2010,292.036,thousand_km2
BA_Forest,seasonal_jja,CAF,2011,291.918,thousand_km2
BA_Forest,seasonal_jja,CAF,2012,329.087,thousand_km2
BA_Forest,seasonal_jja,CAF,2013,228.113,thousand_km2
BA_Forest,seasonal_jja,CAF,2014,177.238,thousand_km2
BA_Forest,seasonal_jja,CAF,2015,244.492,thousand_km2
BA_Forest,seasonal_jja,CAF,2016,279.182,thousand_km2
BA_Forest,seasonal_jja,CAF,2017,211.96,thousand_km2
BA_Forest,seasonal_jja,CAF,2018,241.598,thousand_km2
BA_Forest,seasonal_jja,CAF,2019,368.598,thousand_km2
BA_Forest,seasonal_jja,CAF,2020,267.94,thousand_km2
BA_Forest,seasonal_jja,CAF,2021,286.462,thousand_km2
BA_Forest,seasonal_jja,CAF,2022,291.319,thousand_km2
BA_Forest,seasonal_jja,CAF,2023,272.072,thousand_km2
BA_Forest,seasonal_jja,CAF,2024,0.0,thousand_km2
