variable,timescale,region,year,sum,unit
BA_Forest,seasonal_jja,ESAF,2001,299.137,thousand_km2
BA_Forest,seasonal_jja,ESAF,2002,276.906,thousand_km2
BA_Forest,seasonal_jja,ESAF,2003,256.96,thousand_km2
BA_Forest,seasonal_jja,ESAF,2004,225.963,thousand_km2
BA_Forest,seasonal_jja,ESAF,2005,333.392,thousand_km2
BA_Forest,seasonal_jja,ESAF,2006,239.274,thousand_km2
BA_Forest,seasonal_jja,ESAF,2007,270.702,thousand_km2
BA_Forest,seasonal_jja,ESAF,2008,191.08,thousand_km2
BA_Forest,seasonal_jja,ESAF,2009,125.359,thousand_km2
BA_Forest,seasonal_jja,ESAF,2010,201.74,thousand_km2
BA_Forest,seasonal_jja,ESAF,2011,259.295,thousand_km2
BA_Forest,seasonal_jja,ESAF,2012,215.802,thousand_km2
BA_Forest,seasonal_jja,ESAF,2013,323.096,thousand_km2
BA_Forest,seasonal_jja,ESAF,2014,209.455,thousand_km2
BA_Forest,seasonal_jja,ESAF,2015,266.669,thousand_km2
BA_Forest,seasonal_jja,ESAF,2016,319.798,thousand_km2
BA_Forest,seasonal_jja,ESAF,2017,185.728,thousand_km2
BA_Forest,seasonal_jja,ESAF,2018,282.193,thousand_km2
BA_Forest,seasonal_jja,ESAF,2019,357.921,thousand_km2
BA_Forest,seasonal_jja,ESAF,2020,186.896,thousand_km2
BA_Forest,seasonal_jja,ESAF,2021,193.355,thousand_km2
BA_Forest,seasonal_jja,ESAF,2022,189.079,thousand_km2
BA_Forest,seasonal_jja,ESAF,2023,206.495,thousand_km2
BA_Forest,seasonal_jja,ESAF,2024,0.0,thousand_km2
