year,sum,variable,timescale,region
2001,0.5450000000000002,BA_Forest_NonForest,seasonal_mam,ESAF
2002,13.687999999999999,BA_Forest_NonForest,seasonal_mam,ESAF
2003,6.648999999999999,BA_Forest_NonForest,seasonal_mam,ESAF
2004,0.9880000000000004,BA_Forest_NonForest,seasonal_mam,ESAF
2005,31.25,BA_Forest_NonForest,seasonal_mam,ESAF
2006,2.041,BA_Forest_NonForest,seasonal_mam,ESAF
2007,1.5879999999999996,BA_Forest_NonForest,seasonal_mam,ESAF
2008,2.0629999999999997,BA_Forest_NonForest,seasonal_mam,ESAF
2009,0.676,BA_Forest_NonForest,seasonal_mam,ESAF
2010,1.5599999999999994,BA_Forest_NonForest,seasonal_mam,ESAF
2011,1.8599999999999999,BA_Forest_NonForest,seasonal_mam,ESAF
2012,2.6609999999999996,BA_Forest_NonForest,seasonal_mam,ESAF
2013,9.643999999999998,BA_Forest_NonForest,seasonal_mam,ESAF
2014,1.0150000000000001,BA_Forest_NonForest,seasonal_mam,ESAF
2015,1.9689999999999996,BA_Forest_NonForest,seasonal_mam,ESAF
2016,3.3169999999999984,BA_Forest_NonForest,seasonal_mam,ESAF
2017,0.158,BA_Forest_NonForest,seasonal_mam,ESAF
2018,0.5830000000000002,BA_Forest_NonForest,seasonal_mam,ESAF
2019,3.5900000000000003,BA_Forest_NonForest,seasonal_mam,ESAF
2020,2.832,BA_Forest_NonForest,seasonal_mam,ESAF
2021,1.5150000000000001,BA_Forest_NonForest,seasonal_mam,ESAF
2022,1.3679999999999999,BA_Forest_NonForest,seasonal_mam,ESAF
2023,3.0490000000000004,BA_Forest_NonForest,seasonal_mam,ESAF
2024,0.0,BA_Forest_NonForest,seasonal_mam,ESAF
