variable,timescale,region,year,sum,unit
BA_Forest,seasonal_mam,NAU,2001,0.02,thousand_km2
BA_Forest,seasonal_mam,NAU,2002,0.2,thousand_km2
BA_Forest,seasonal_mam,NAU,2003,0.078,thousand_km2
BA_Forest,seasonal_mam,NAU,2004,0.007,thousand_km2
BA_Forest,seasonal_mam,NAU,2005,0.07,thousand_km2
BA_Forest,seasonal_mam,NAU,2006,0.042,thousand_km2
BA_Forest,seasonal_mam,NAU,2007,0.01,thousand_km2
BA_Forest,seasonal_mam,NAU,2008,0.074,thousand_km2
BA_Forest,seasonal_mam,NAU,2009,0.016,thousand_km2
BA_Forest,seasonal_mam,NAU,2010,0.004,thousand_km2
BA_Forest,seasonal_mam,NAU,2011,0.028,thousand_km2
BA_Forest,seasonal_mam,NAU,2012,0.086,thousand_km2
BA_Forest,seasonal_mam,NAU,2013,0.136,thousand_km2
BA_Forest,seasonal_mam,NAU,2014,0.011,thousand_km2
BA_Forest,seasonal_mam,NAU,2015,0.128,thousand_km2
BA_Forest,seasonal_mam,NAU,2016,0.036,thousand_km2
BA_Forest,seasonal_mam,NAU,2017,0.048,thousand_km2
BA_Forest,seasonal_mam,NAU,2018,0.122,thousand_km2
BA_Forest,seasonal_mam,NAU,2019,0.565,thousand_km2
BA_Forest,seasonal_mam,NAU,2020,0.13,thousand_km2
BA_Forest,seasonal_mam,NAU,2021,0.092,thousand_km2
BA_Forest,seasonal_mam,NAU,2022,0.136,thousand_km2
BA_Forest,seasonal_mam,NAU,2023,0.567,thousand_km2
BA_Forest,seasonal_mam,NAU,2024,0.0,thousand_km2
