variable,timescale,region,year,sum,unit
BA_Forest,seasonal_mam,SEA,2001,3.683,thousand_km2
BA_Forest,seasonal_mam,SEA,2002,24.964,thousand_km2
BA_Forest,seasonal_mam,SEA,2003,20.978,thousand_km2
BA_Forest,seasonal_mam,SEA,2004,56.463,thousand_km2
BA_Forest,seasonal_mam,SEA,2005,45.624,thousand_km2
BA_Forest,seasonal_mam,SEA,2006,20.216,thousand_km2
BA_Forest,seasonal_mam,SEA,2007,63.325,thousand_km2
BA_Forest,seasonal_mam,SEA,2008,35.521,thousand_km2
BA_Forest,seasonal_mam,SEA,2009,30.983,thousand_km2
BA_Forest,seasonal_mam,SEA,2010,52.71,thousand_km2
BA_Forest,seasonal_mam,SEA,2011,16.382,thousand_km2
BA_Forest,seasonal_mam,SEA,2012,32.757,thousand_km2
BA_Forest,seasonal_mam,SEA,2013,29.893,thousand_km2
BA_Forest,seasonal_mam,SEA,2014,54.854,thousand_km2
BA_Forest,seasonal_mam,SEA,2015,51.474,thousand_km2
BA_Forest,seasonal_mam,SEA,2016,42.448,thousand_km2
BA_Forest,seasonal_mam,SEA,2017,31.678,thousand_km2
BA_Forest,seasonal_mam,SEA,2018,21.825,thousand_km2
BA_Forest,seasonal_mam,SEA,2019,25.124,thousand_km2
BA_Forest,seasonal_mam,SEA,2020,48.775,thousand_km2
BA_Forest,seasonal_mam,SEA,2021,26.093,thousand_km2
BA_Forest,seasonal_mam,SEA,2022,7.927,thousand_km2
BA_Forest,seasonal_mam,SEA,2023,39.551,thousand_km2
BA_Forest,seasonal_mam,SEA,2024,0.0,thousand_km2
