year,sum,variable,timescale,region
2001,0.012,BA_Forest_NonForest,seasonal_mam,SWS
2002,0.07300000000000001,BA_Forest_NonForest,seasonal_mam,SWS
2003,0.8750000000000001,BA_Forest_NonForest,seasonal_mam,SWS
2004,0.337,BA_Forest_NonForest,seasonal_mam,SWS
2005,0.657,BA_Forest_NonForest,seasonal_mam,SWS
2006,0.5830000000000001,BA_Forest_NonForest,seasonal_mam,SWS
2007,0.34900000000000003,BA_Forest_NonForest,seasonal_mam,SWS
2008,1.131,BA_Forest_NonForest,seasonal_mam,SWS
2009,0.7230000000000002,BA_Forest_NonForest,seasonal_mam,SWS
2010,0.619,BA_Forest_NonForest,seasonal_mam,SWS
2011,0.37400000000000005,BA_Forest_NonForest,seasonal_mam,SWS
2012,0.7850000000000001,BA_Forest_NonForest,seasonal_mam,SWS
2013,0.138,BA_Forest_NonForest,seasonal_mam,SWS
2014,1.317,BA_Forest_NonForest,seasonal_mam,SWS
2015,4.957999999999999,BA_Forest_NonForest,seasonal_mam,SWS
2016,0.553,BA_Forest_NonForest,seasonal_mam,SWS
2017,0.163,BA_Forest_NonForest,seasonal_mam,SWS
2018,0.537,BA_Forest_NonForest,seasonal_mam,SWS
2019,0.9320000000000002,BA_Forest_NonForest,seasonal_mam,SWS
2020,0.8190000000000001,BA_Forest_NonForest,seasonal_mam,SWS
2021,1.134,BA_Forest_NonForest,seasonal_mam,SWS
2022,0.512,BA_Forest_NonForest,seasonal_mam,SWS
2023,0.56,BA_Forest_NonForest,seasonal_mam,SWS
2024,0.0,BA_Forest_NonForest,seasonal_mam,SWS
