variable,timescale,region,year,sum,unit
BA_Forest,seasonal_son,EAS,2001,2.626,thousand_km2
BA_Forest,seasonal_son,EAS,2002,0.496,thousand_km2
BA_Forest,seasonal_son,EAS,2003,1.979,thousand_km2
BA_Forest,seasonal_son,EAS,2004,7.057,thousand_km2
BA_Forest,seasonal_son,EAS,2005,2.095,thousand_km2
BA_Forest,seasonal_son,EAS,2006,4.643,thousand_km2
BA_Forest,seasonal_son,EAS,2007,4.746,thousand_km2
BA_Forest,seasonal_son,EAS,2008,6.367,thousand_km2
BA_Forest,seasonal_son,EAS,2009,2.743,thousand_km2
BA_Forest,seasonal_son,EAS,2010,2.263,thousand_km2
BA_Forest,seasonal_son,EAS,2011,3.258,thousand_km2
BA_Forest,seasonal_son,EAS,2012,0.639,thousand_km2
BA_Forest,seasonal_son,EAS,2013,1.002,thousand_km2
BA_Forest,seasonal_son,EAS,2014,3.382,thousand_km2
BA_Forest,seasonal_son,EAS,2015,0.887,thousand_km2
BA_Forest,seasonal_son,EAS,2016,0.388,thousand_km2
BA_Forest,seasonal_son,EAS,2017,2.276,thousand_km2
BA_Forest,seasonal_son,EAS,2018,0.207,thousand_km2
BA_Forest,seasonal_son,EAS,2019,0.924,thousand_km2
BA_Forest,seasonal_son,EAS,2020,0.801,thousand_km2
BA_Forest,seasonal_son,EAS,2021,0.214,thousand_km2
BA_Forest,seasonal_son,EAS,2022,2.691,thousand_km2
BA_Forest,seasonal_son,EAS,2023,0.201,thousand_km2
BA_Forest,seasonal_son,EAS,2024,0.0,thousand_km2
