year,sum,variable,timescale,region
2001,23.662999999999997,BA_Forest_NonForest,yearly,WAF
2002,24.696,BA_Forest_NonForest,yearly,WAF
2003,30.98699999999999,BA_Forest_NonForest,yearly,WAF
2004,28.784999999999993,BA_Forest_NonForest,yearly,WAF
2005,17.817,BA_Forest_NonForest,yearly,WAF
2006,55.115,BA_Forest_NonForest,yearly,WAF
2007,25.619999999999997,BA_Forest_NonForest,yearly,WAF
2008,13.350000000000001,BA_Forest_NonForest,yearly,WAF
2009,55.929999999999986,BA_Forest_NonForest,yearly,WAF
2010,8.244000000000002,BA_Forest_NonForest,yearly,WAF
2011,6.5230000000000015,BA_Forest_NonForest,yearly,WAF
2012,20.416999999999994,BA_Forest_NonForest,yearly,WAF
2013,35.227000000000004,BA_Forest_NonForest,yearly,WAF
2014,34.175999999999995,BA_Forest_NonForest,yearly,WAF
2015,66.99499999999999,BA_Forest_NonForest,yearly,WAF
2016,12.882999999999997,BA_Forest_NonForest,yearly,WAF
2017,5.878000000000002,BA_Forest_NonForest,yearly,WAF
2018,26.566,BA_Forest_NonForest,yearly,WAF
2019,22.985000000000003,BA_Forest_NonForest,yearly,WAF
2020,20.511999999999997,BA_Forest_NonForest,yearly,WAF
2021,8.702000000000002,BA_Forest_NonForest,yearly,WAF
2022,15.004000000000001,BA_Forest_NonForest,yearly,WAF
2023,8.764000000000001,BA_Forest_NonForest,yearly,WAF
2024,5.318000000000001,BA_Forest_NonForest,yearly,WAF
