year,sum,variable,timescale,region
2001,125.67699999999998,BA_Forest_NonForest,yearly_jj,CAF
2002,307.96899999999994,BA_Forest_NonForest,yearly_jj,CAF
2003,449.4069999999999,BA_Forest_NonForest,yearly_jj,CAF
2004,351.6109999999999,BA_Forest_NonForest,yearly_jj,CAF
2005,302.12499999999994,BA_Forest_NonForest,yearly_jj,CAF
2006,460.9549999999999,BA_Forest_NonForest,yearly_jj,CAF
2007,487.5429999999999,BA_Forest_NonForest,yearly_jj,CAF
2008,479.9399999999998,BA_Forest_NonForest,yearly_jj,CAF
2009,327.80699999999996,BA_Forest_NonForest,yearly_jj,CAF
2010,348.6599999999999,BA_Forest_NonForest,yearly_jj,CAF
2011,370.7389999999999,BA_Forest_NonForest,yearly_jj,CAF
2012,481.28199999999987,BA_Forest_NonForest,yearly_jj,CAF
2013,531.675,BA_Forest_NonForest,yearly_jj,CAF
2014,388.2329999999999,BA_Forest_NonForest,yearly_jj,CAF
2015,277.85399999999987,BA_Forest_NonForest,yearly_jj,CAF
2016,367.35799999999995,BA_Forest_NonForest,yearly_jj,CAF
2017,320.5089999999999,BA_Forest_NonForest,yearly_jj,CAF
2018,308.9269999999999,BA_Forest_NonForest,yearly_jj,CAF
2019,446.655,BA_Forest_NonForest,yearly_jj,CAF
2020,411.2869999999999,BA_Forest_NonForest,yearly_jj,CAF
2021,375.3349999999999,BA_Forest_NonForest,yearly_jj,CAF
2022,372.4069999999999,BA_Forest_NonForest,yearly_jj,CAF
2023,339.8159999999999,BA_Forest_NonForest,yearly_jj,CAF
2024,273.83599999999996,BA_Forest_NonForest,yearly_jj,CAF
