year,sum,variable,timescale,region
2001,7.161,BA_Forest_NonForest,yearly_jj,NCA
2002,6.869999999999999,BA_Forest_NonForest,yearly_jj,NCA
2003,8.674000000000001,BA_Forest_NonForest,yearly_jj,NCA
2004,3.7120000000000006,BA_Forest_NonForest,yearly_jj,NCA
2005,11.970999999999998,BA_Forest_NonForest,yearly_jj,NCA
2006,11.364,BA_Forest_NonForest,yearly_jj,NCA
2007,6.606999999999999,BA_Forest_NonForest,yearly_jj,NCA
2008,10.133000000000001,BA_Forest_NonForest,yearly_jj,NCA
2009,5.3340000000000005,BA_Forest_NonForest,yearly_jj,NCA
2010,1.9000000000000001,BA_Forest_NonForest,yearly_jj,NCA
2011,16.901,BA_Forest_NonForest,yearly_jj,NCA
2012,5.148,BA_Forest_NonForest,yearly_jj,NCA
2013,13.955000000000002,BA_Forest_NonForest,yearly_jj,NCA
2014,1.8130000000000002,BA_Forest_NonForest,yearly_jj,NCA
2015,2.632,BA_Forest_NonForest,yearly_jj,NCA
2016,3.5450000000000004,BA_Forest_NonForest,yearly_jj,NCA
2017,6.758000000000001,BA_Forest_NonForest,yearly_jj,NCA
2018,7.668,BA_Forest_NonForest,yearly_jj,NCA
2019,11.271,BA_Forest_NonForest,yearly_jj,NCA
2020,4.273,BA_Forest_NonForest,yearly_jj,NCA
2021,14.870999999999999,BA_Forest_NonForest,yearly_jj,NCA
2022,9.639,BA_Forest_NonForest,yearly_jj,NCA
2023,9.31,BA_Forest_NonForest,yearly_jj,NCA
