variable,timescale,region,year,sum,unit
BA_Forest,yearly_jj,SAH,2001,0.0,thousand_km2
BA_Forest,yearly_jj,SAH,2002,0.0,thousand_km2
BA_Forest,yearly_jj,SAH,2003,0.002,thousand_km2
BA_Forest,yearly_jj,SAH,2004,0.0,thousand_km2
BA_Forest,yearly_jj,SAH,2005,0.0,thousand_km2
BA_Forest,yearly_jj,SAH,2006,0.02,thousand_km2
BA_Forest,yearly_jj,SAH,2007,0.009,thousand_km2
BA_Forest,yearly_jj,SAH,2008,0.015,thousand_km2
BA_Forest,yearly_jj,SAH,2009,0.0,thousand_km2
BA_Forest,yearly_jj,SAH,2010,0.0,thousand_km2
BA_Forest,yearly_jj,SAH,2011,0.0,thousand_km2
BA_Forest,yearly_jj,SAH,2012,0.012,thousand_km2
BA_Forest,yearly_jj,SAH,2013,0.01,thousand_km2
BA_Forest,yearly_jj,SAH,2014,0.0,thousand_km2
BA_Forest,yearly_jj,SAH,2015,0.0,thousand_km2
BA_Forest,yearly_jj,SAH,2016,0.0,thousand_km2
BA_Forest,yearly_jj,SAH,2017,0.001,thousand_km2
BA_Forest,yearly_jj,SAH,2018,0.001,thousand_km2
BA_Forest,yearly_jj,SAH,2019,0.0,thousand_km2
BA_Forest,yearly_jj,SAH,2020,0.024,thousand_km2
BA_Forest,yearly_jj,SAH,2021,0.001,thousand_km2
BA_Forest,yearly_jj,SAH,2022,0.0,thousand_km2
BA_Forest,yearly_jj,SAH,2023,0.052,thousand_km2
BA_Forest,yearly_jj,SAH,2024,0.285,thousand_km2
