variable,timescale,region,year,sum,unit
BA_Total,seasonal_djf,EEU,2001,0.0,thousand_km2
BA_Total,seasonal_djf,EEU,2002,0.074,thousand_km2
BA_Total,seasonal_djf,EEU,2003,1.319,thousand_km2
BA_Total,seasonal_djf,EEU,2004,0.123,thousand_km2
BA_Total,seasonal_djf,EEU,2005,1.604,thousand_km2
BA_Total,seasonal_djf,EEU,2006,1.914,thousand_km2
BA_Total,seasonal_djf,EEU,2007,0.228,thousand_km2
BA_Total,seasonal_djf,EEU,2008,0.724,thousand_km2
BA_Total,seasonal_djf,EEU,2009,0.155,thousand_km2
BA_Total,seasonal_djf,EEU,2010,0.187,thousand_km2
BA_Total,seasonal_djf,EEU,2011,18.187,thousand_km2
BA_Total,seasonal_djf,EEU,2012,0.001,thousand_km2
BA_Total,seasonal_djf,EEU,2013,0.626,thousand_km2
BA_Total,seasonal_djf,EEU,2014,1.931,thousand_km2
BA_Total,seasonal_djf,EEU,2015,1.097,thousand_km2
BA_Total,seasonal_djf,EEU,2016,0.082,thousand_km2
BA_Total,seasonal_djf,EEU,2017,1.214,thousand_km2
BA_Total,seasonal_djf,EEU,2018,0.143,thousand_km2
BA_Total,seasonal_djf,EEU,2019,1.565,thousand_km2
BA_Total,seasonal_djf,EEU,2020,3.427,thousand_km2
BA_Total,seasonal_djf,EEU,2021,1.72,thousand_km2
BA_Total,seasonal_djf,EEU,2022,0.683,thousand_km2
BA_Total,seasonal_djf,EEU,2023,3.009,thousand_km2
BA_Total,seasonal_djf,EEU,2024,0.737,thousand_km2
