variable,timescale,region,year,sum,unit
BA_Total,seasonal_djf,NES,2001,0.0,thousand_km2
BA_Total,seasonal_djf,NES,2002,4.098,thousand_km2
BA_Total,seasonal_djf,NES,2003,17.465,thousand_km2
BA_Total,seasonal_djf,NES,2004,21.526,thousand_km2
BA_Total,seasonal_djf,NES,2005,28.566,thousand_km2
BA_Total,seasonal_djf,NES,2006,13.675,thousand_km2
BA_Total,seasonal_djf,NES,2007,16.064,thousand_km2
BA_Total,seasonal_djf,NES,2008,13.063,thousand_km2
BA_Total,seasonal_djf,NES,2009,15.576,thousand_km2
BA_Total,seasonal_djf,NES,2010,24.7,thousand_km2
BA_Total,seasonal_djf,NES,2011,9.857,thousand_km2
BA_Total,seasonal_djf,NES,2012,26.215,thousand_km2
BA_Total,seasonal_djf,NES,2013,21.95,thousand_km2
BA_Total,seasonal_djf,NES,2014,10.915,thousand_km2
BA_Total,seasonal_djf,NES,2015,17.37,thousand_km2
BA_Total,seasonal_djf,NES,2016,53.551,thousand_km2
BA_Total,seasonal_djf,NES,2017,9.89,thousand_km2
BA_Total,seasonal_djf,NES,2018,21.997,thousand_km2
BA_Total,seasonal_djf,NES,2019,14.908,thousand_km2
BA_Total,seasonal_djf,NES,2020,17.621,thousand_km2
BA_Total,seasonal_djf,NES,2021,9.774,thousand_km2
BA_Total,seasonal_djf,NES,2022,6.823,thousand_km2
BA_Total,seasonal_djf,NES,2023,7.706,thousand_km2
BA_Total,seasonal_djf,NES,2024,13.537,thousand_km2
