variable,timescale,region,year,sum,unit
BA_Total,seasonal_djf,SSA,2001,0.0,thousand_km2
BA_Total,seasonal_djf,SSA,2002,7.379,thousand_km2
BA_Total,seasonal_djf,SSA,2003,9.472,thousand_km2
BA_Total,seasonal_djf,SSA,2004,2.356,thousand_km2
BA_Total,seasonal_djf,SSA,2005,2.045,thousand_km2
BA_Total,seasonal_djf,SSA,2006,0.332,thousand_km2
BA_Total,seasonal_djf,SSA,2007,0.566,thousand_km2
BA_Total,seasonal_djf,SSA,2008,0.33,thousand_km2
BA_Total,seasonal_djf,SSA,2009,0.153,thousand_km2
BA_Total,seasonal_djf,SSA,2010,0.025,thousand_km2
BA_Total,seasonal_djf,SSA,2011,0.001,thousand_km2
BA_Total,seasonal_djf,SSA,2012,1.363,thousand_km2
BA_Total,seasonal_djf,SSA,2013,0.173,thousand_km2
BA_Total,seasonal_djf,SSA,2014,0.889,thousand_km2
BA_Total,seasonal_djf,SSA,2015,1.613,thousand_km2
BA_Total,seasonal_djf,SSA,2016,1.28,thousand_km2
BA_Total,seasonal_djf,SSA,2017,9.697,thousand_km2
BA_Total,seasonal_djf,SSA,2018,1.598,thousand_km2
BA_Total,seasonal_djf,SSA,2019,2.073,thousand_km2
BA_Total,seasonal_djf,SSA,2020,1.587,thousand_km2
BA_Total,seasonal_djf,SSA,2021,0.242,thousand_km2
BA_Total,seasonal_djf,SSA,2022,4.121,thousand_km2
BA_Total,seasonal_djf,SSA,2023,1.377,thousand_km2
BA_Total,seasonal_djf,SSA,2024,0.65,thousand_km2
