variable,timescale,region,year,sum,unit
BA_Total,seasonal_djf,WNA,2001,0.0,thousand_km2
BA_Total,seasonal_djf,WNA,2002,0.203,thousand_km2
BA_Total,seasonal_djf,WNA,2003,0.433,thousand_km2
BA_Total,seasonal_djf,WNA,2004,0.17,thousand_km2
BA_Total,seasonal_djf,WNA,2005,0.275,thousand_km2
BA_Total,seasonal_djf,WNA,2006,1.952,thousand_km2
BA_Total,seasonal_djf,WNA,2007,1.091,thousand_km2
BA_Total,seasonal_djf,WNA,2008,0.281,thousand_km2
BA_Total,seasonal_djf,WNA,2009,0.791,thousand_km2
BA_Total,seasonal_djf,WNA,2010,0.387,thousand_km2
BA_Total,seasonal_djf,WNA,2011,0.508,thousand_km2
BA_Total,seasonal_djf,WNA,2012,0.864,thousand_km2
BA_Total,seasonal_djf,WNA,2013,0.085,thousand_km2
BA_Total,seasonal_djf,WNA,2014,1.167,thousand_km2
BA_Total,seasonal_djf,WNA,2015,0.498,thousand_km2
BA_Total,seasonal_djf,WNA,2016,0.007,thousand_km2
BA_Total,seasonal_djf,WNA,2017,0.188,thousand_km2
BA_Total,seasonal_djf,WNA,2018,9.894,thousand_km2
BA_Total,seasonal_djf,WNA,2019,0.238,thousand_km2
BA_Total,seasonal_djf,WNA,2020,1.457,thousand_km2
BA_Total,seasonal_djf,WNA,2021,1.489,thousand_km2
BA_Total,seasonal_djf,WNA,2022,0.74,thousand_km2
BA_Total,seasonal_djf,WNA,2023,0.486,thousand_km2
BA_Total,seasonal_djf,WNA,2024,0.113,thousand_km2
