variable,timescale,region,year,sum,unit
BA_Total,seasonal_jja,CAR,2001,0.022,thousand_km2
BA_Total,seasonal_jja,CAR,2002,0.099,thousand_km2
BA_Total,seasonal_jja,CAR,2003,0.427,thousand_km2
BA_Total,seasonal_jja,CAR,2004,0.446,thousand_km2
BA_Total,seasonal_jja,CAR,2005,0.077,thousand_km2
BA_Total,seasonal_jja,CAR,2006,0.134,thousand_km2
BA_Total,seasonal_jja,CAR,2007,0.125,thousand_km2
BA_Total,seasonal_jja,CAR,2008,1.342,thousand_km2
BA_Total,seasonal_jja,CAR,2009,0.105,thousand_km2
BA_Total,seasonal_jja,CAR,2010,0.126,thousand_km2
BA_Total,seasonal_jja,CAR,2011,0.055,thousand_km2
BA_Total,seasonal_jja,CAR,2012,0.048,thousand_km2
BA_Total,seasonal_jja,CAR,2013,0.182,thousand_km2
BA_Total,seasonal_jja,CAR,2014,0.511,thousand_km2
BA_Total,seasonal_jja,CAR,2015,0.98,thousand_km2
BA_Total,seasonal_jja,CAR,2016,0.035,thousand_km2
BA_Total,seasonal_jja,CAR,2017,0.115,thousand_km2
BA_Total,seasonal_jja,CAR,2018,0.343,thousand_km2
BA_Total,seasonal_jja,CAR,2019,0.233,thousand_km2
BA_Total,seasonal_jja,CAR,2020,0.136,thousand_km2
BA_Total,seasonal_jja,CAR,2021,0.075,thousand_km2
BA_Total,seasonal_jja,CAR,2022,0.011,thousand_km2
BA_Total,seasonal_jja,CAR,2023,0.265,thousand_km2
BA_Total,seasonal_jja,CAR,2024,0.0,thousand_km2
