variable,timescale,region,year,sum,unit
BA_Total,seasonal_jja,NSA,2001,13.462,thousand_km2
BA_Total,seasonal_jja,NSA,2002,17.52,thousand_km2
BA_Total,seasonal_jja,NSA,2003,10.566,thousand_km2
BA_Total,seasonal_jja,NSA,2004,16.563,thousand_km2
BA_Total,seasonal_jja,NSA,2005,40.625,thousand_km2
BA_Total,seasonal_jja,NSA,2006,11.351,thousand_km2
BA_Total,seasonal_jja,NSA,2007,21.657,thousand_km2
BA_Total,seasonal_jja,NSA,2008,20.763,thousand_km2
BA_Total,seasonal_jja,NSA,2009,8.355,thousand_km2
BA_Total,seasonal_jja,NSA,2010,25.78,thousand_km2
BA_Total,seasonal_jja,NSA,2011,6.292,thousand_km2
BA_Total,seasonal_jja,NSA,2012,14.667,thousand_km2
BA_Total,seasonal_jja,NSA,2013,3.591,thousand_km2
BA_Total,seasonal_jja,NSA,2014,12.498,thousand_km2
BA_Total,seasonal_jja,NSA,2015,9.826,thousand_km2
BA_Total,seasonal_jja,NSA,2016,8.798,thousand_km2
BA_Total,seasonal_jja,NSA,2017,20.697,thousand_km2
BA_Total,seasonal_jja,NSA,2018,4.599,thousand_km2
BA_Total,seasonal_jja,NSA,2019,24.628,thousand_km2
BA_Total,seasonal_jja,NSA,2020,27.165,thousand_km2
BA_Total,seasonal_jja,NSA,2021,19.872,thousand_km2
BA_Total,seasonal_jja,NSA,2022,27.371,thousand_km2
BA_Total,seasonal_jja,NSA,2023,17.545,thousand_km2
BA_Total,seasonal_jja,NSA,2024,0.0,thousand_km2
