variable,timescale,region,year,sum,unit
BA_Total,seasonal_jja,SAM,2001,212.396,thousand_km2
BA_Total,seasonal_jja,SAM,2002,281.611,thousand_km2
BA_Total,seasonal_jja,SAM,2003,198.568,thousand_km2
BA_Total,seasonal_jja,SAM,2004,224.351,thousand_km2
BA_Total,seasonal_jja,SAM,2005,347.25,thousand_km2
BA_Total,seasonal_jja,SAM,2006,225.757,thousand_km2
BA_Total,seasonal_jja,SAM,2007,434.07,thousand_km2
BA_Total,seasonal_jja,SAM,2008,117.218,thousand_km2
BA_Total,seasonal_jja,SAM,2009,64.495,thousand_km2
BA_Total,seasonal_jja,SAM,2010,541.838,thousand_km2
BA_Total,seasonal_jja,SAM,2011,92.588,thousand_km2
BA_Total,seasonal_jja,SAM,2012,162.796,thousand_km2
BA_Total,seasonal_jja,SAM,2013,93.091,thousand_km2
BA_Total,seasonal_jja,SAM,2014,99.47,thousand_km2
BA_Total,seasonal_jja,SAM,2015,87.964,thousand_km2
BA_Total,seasonal_jja,SAM,2016,241.837,thousand_km2
BA_Total,seasonal_jja,SAM,2017,135.491,thousand_km2
BA_Total,seasonal_jja,SAM,2018,83.461,thousand_km2
BA_Total,seasonal_jja,SAM,2019,253.675,thousand_km2
BA_Total,seasonal_jja,SAM,2020,177.842,thousand_km2
BA_Total,seasonal_jja,SAM,2021,190.477,thousand_km2
BA_Total,seasonal_jja,SAM,2022,135.069,thousand_km2
BA_Total,seasonal_jja,SAM,2023,87.868,thousand_km2
BA_Total,seasonal_jja,SAM,2024,0.0,thousand_km2
