variable,timescale,region,year,sum,unit
BA_Total,seasonal_jja,SEA,2001,6.475,thousand_km2
BA_Total,seasonal_jja,SEA,2002,42.305,thousand_km2
BA_Total,seasonal_jja,SEA,2003,23.604,thousand_km2
BA_Total,seasonal_jja,SEA,2004,50.42,thousand_km2
BA_Total,seasonal_jja,SEA,2005,19.993,thousand_km2
BA_Total,seasonal_jja,SEA,2006,41.145,thousand_km2
BA_Total,seasonal_jja,SEA,2007,11.348,thousand_km2
BA_Total,seasonal_jja,SEA,2008,15.001,thousand_km2
BA_Total,seasonal_jja,SEA,2009,36.786,thousand_km2
BA_Total,seasonal_jja,SEA,2010,10.206,thousand_km2
BA_Total,seasonal_jja,SEA,2011,26.436,thousand_km2
BA_Total,seasonal_jja,SEA,2012,21.575,thousand_km2
BA_Total,seasonal_jja,SEA,2013,22.484,thousand_km2
BA_Total,seasonal_jja,SEA,2014,20.775,thousand_km2
BA_Total,seasonal_jja,SEA,2015,41.322,thousand_km2
BA_Total,seasonal_jja,SEA,2016,13.719,thousand_km2
BA_Total,seasonal_jja,SEA,2017,11.529,thousand_km2
BA_Total,seasonal_jja,SEA,2018,14.932,thousand_km2
BA_Total,seasonal_jja,SEA,2019,23.854,thousand_km2
BA_Total,seasonal_jja,SEA,2020,8.258,thousand_km2
BA_Total,seasonal_jja,SEA,2021,9.714,thousand_km2
BA_Total,seasonal_jja,SEA,2022,6.856,thousand_km2
BA_Total,seasonal_jja,SEA,2023,16.585,thousand_km2
BA_Total,seasonal_jja,SEA,2024,0.0,thousand_km2
