variable,timescale,region,year,sum,unit
BA_Total,seasonal_mam,CAR,2001,5.683,thousand_km2
BA_Total,seasonal_mam,CAR,2002,5.409,thousand_km2
BA_Total,seasonal_mam,CAR,2003,5.624,thousand_km2
BA_Total,seasonal_mam,CAR,2004,16.35,thousand_km2
BA_Total,seasonal_mam,CAR,2005,13.374,thousand_km2
BA_Total,seasonal_mam,CAR,2006,14.307,thousand_km2
BA_Total,seasonal_mam,CAR,2007,9.171,thousand_km2
BA_Total,seasonal_mam,CAR,2008,5.971,thousand_km2
BA_Total,seasonal_mam,CAR,2009,13.468,thousand_km2
BA_Total,seasonal_mam,CAR,2010,5.353,thousand_km2
BA_Total,seasonal_mam,CAR,2011,11.169,thousand_km2
BA_Total,seasonal_mam,CAR,2012,5.562,thousand_km2
BA_Total,seasonal_mam,CAR,2013,5.882,thousand_km2
BA_Total,seasonal_mam,CAR,2014,4.021,thousand_km2
BA_Total,seasonal_mam,CAR,2015,7.485,thousand_km2
BA_Total,seasonal_mam,CAR,2016,3.43,thousand_km2
BA_Total,seasonal_mam,CAR,2017,5.272,thousand_km2
BA_Total,seasonal_mam,CAR,2018,2.49,thousand_km2
BA_Total,seasonal_mam,CAR,2019,1.983,thousand_km2
BA_Total,seasonal_mam,CAR,2020,11.51,thousand_km2
BA_Total,seasonal_mam,CAR,2021,7.043,thousand_km2
BA_Total,seasonal_mam,CAR,2022,3.921,thousand_km2
BA_Total,seasonal_mam,CAR,2023,6.515,thousand_km2
BA_Total,seasonal_mam,CAR,2024,0.0,thousand_km2
