variable,timescale,region,year,sum,unit
BA_Total,seasonal_mam,TIB,2001,8.717,thousand_km2
BA_Total,seasonal_mam,TIB,2002,15.814,thousand_km2
BA_Total,seasonal_mam,TIB,2003,26.077,thousand_km2
BA_Total,seasonal_mam,TIB,2004,29.902,thousand_km2
BA_Total,seasonal_mam,TIB,2005,27.773,thousand_km2
BA_Total,seasonal_mam,TIB,2006,13.512,thousand_km2
BA_Total,seasonal_mam,TIB,2007,9.107,thousand_km2
BA_Total,seasonal_mam,TIB,2008,21.661,thousand_km2
BA_Total,seasonal_mam,TIB,2009,23.659,thousand_km2
BA_Total,seasonal_mam,TIB,2010,26.157,thousand_km2
BA_Total,seasonal_mam,TIB,2011,12.177,thousand_km2
BA_Total,seasonal_mam,TIB,2012,27.232,thousand_km2
BA_Total,seasonal_mam,TIB,2013,33.239,thousand_km2
BA_Total,seasonal_mam,TIB,2014,14.622,thousand_km2
BA_Total,seasonal_mam,TIB,2015,4.739,thousand_km2
BA_Total,seasonal_mam,TIB,2016,53.857,thousand_km2
BA_Total,seasonal_mam,TIB,2017,17.293,thousand_km2
BA_Total,seasonal_mam,TIB,2018,19.647,thousand_km2
BA_Total,seasonal_mam,TIB,2019,27.3,thousand_km2
BA_Total,seasonal_mam,TIB,2020,8.722,thousand_km2
BA_Total,seasonal_mam,TIB,2021,25.946,thousand_km2
BA_Total,seasonal_mam,TIB,2022,23.481,thousand_km2
BA_Total,seasonal_mam,TIB,2023,18.856,thousand_km2
BA_Total,seasonal_mam,TIB,2024,0.0,thousand_km2
