year,sum,variable,timescale,region
2001,0.14,BA_Total,seasonal_son,CAR
2002,0.09699999999999999,BA_Total,seasonal_son,CAR
2003,0.153,BA_Total,seasonal_son,CAR
2004,0.16499999999999998,BA_Total,seasonal_son,CAR
2005,0.036000000000000004,BA_Total,seasonal_son,CAR
2006,0.125,BA_Total,seasonal_son,CAR
2007,0.082,BA_Total,seasonal_son,CAR
2008,0.094,BA_Total,seasonal_son,CAR
2009,0.14800000000000002,BA_Total,seasonal_son,CAR
2010,0.10400000000000001,BA_Total,seasonal_son,CAR
2011,0.047,BA_Total,seasonal_son,CAR
2012,0.135,BA_Total,seasonal_son,CAR
2013,0.213,BA_Total,seasonal_son,CAR
2014,0.066,BA_Total,seasonal_son,CAR
2015,0.027000000000000003,BA_Total,seasonal_son,CAR
2016,0.19799999999999998,BA_Total,seasonal_son,CAR
2017,0.127,BA_Total,seasonal_son,CAR
2018,0.29000000000000004,BA_Total,seasonal_son,CAR
2019,0.10800000000000001,BA_Total,seasonal_son,CAR
2020,0.022,BA_Total,seasonal_son,CAR
2021,0.092,BA_Total,seasonal_son,CAR
2022,0.133,BA_Total,seasonal_son,CAR
2023,0.001,BA_Total,seasonal_son,CAR
2024,0.0,BA_Total,seasonal_son,CAR
