variable,timescale,region,year,sum,unit
BA_Total,yearly,EAS,2001,30.534,thousand_km2
BA_Total,yearly,EAS,2002,53.938,thousand_km2
BA_Total,yearly,EAS,2003,102.62,thousand_km2
BA_Total,yearly,EAS,2004,157.509,thousand_km2
BA_Total,yearly,EAS,2005,166.16,thousand_km2
BA_Total,yearly,EAS,2006,195.243,thousand_km2
BA_Total,yearly,EAS,2007,241.321,thousand_km2
BA_Total,yearly,EAS,2008,113.301,thousand_km2
BA_Total,yearly,EAS,2009,161.57,thousand_km2
BA_Total,yearly,EAS,2010,225.623,thousand_km2
BA_Total,yearly,EAS,2011,134.923,thousand_km2
BA_Total,yearly,EAS,2012,242.048,thousand_km2
BA_Total,yearly,EAS,2013,152.973,thousand_km2
BA_Total,yearly,EAS,2014,170.079,thousand_km2
BA_Total,yearly,EAS,2015,101.155,thousand_km2
BA_Total,yearly,EAS,2016,66.834,thousand_km2
BA_Total,yearly,EAS,2017,73.386,thousand_km2
BA_Total,yearly,EAS,2018,35.398,thousand_km2
BA_Total,yearly,EAS,2019,71.168,thousand_km2
BA_Total,yearly,EAS,2020,101.739,thousand_km2
BA_Total,yearly,EAS,2021,74.822,thousand_km2
BA_Total,yearly,EAS,2022,56.754,thousand_km2
BA_Total,yearly,EAS,2023,120.19,thousand_km2
BA_Total,yearly,EAS,2024,5.122,thousand_km2
