variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
Cem_Forest,monthly,ESB,2002,0.0,0.077,1.923,0.972,3.066,1.567,5.153,13.501,13.089,2.143,0.034,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2003,0.0,0.003,14.252,6.135,77.128,37.77,17.248,0.666,0.497,0.001,0.002,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2004,0.0,0.0,0.03,0.57,1.793,0.505,2.585,0.057,0.339,0.304,0.017,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2005,0.0,0.0,1.612,0.312,0.134,0.039,0.944,1.326,0.981,0.449,0.0,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2006,0.0,0.0,0.097,3.643,3.285,0.842,36.358,2.552,2.269,1.035,0.001,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2007,0.002,0.011,0.284,3.557,2.351,0.942,2.499,4.007,4.332,3.35,0.061,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2008,0.0,0.096,7.013,21.936,12.431,5.711,6.907,0.142,0.071,0.039,0.001,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2009,0.0,0.0,1.552,6.478,5.176,0.687,0.344,0.319,0.512,0.013,0.02,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2010,0.0,0.0,0.02,1.414,0.112,0.811,0.257,0.025,0.115,0.149,0.013,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2011,0.0,0.0,8.264,5.675,4.043,10.342,9.805,0.479,3.499,7.502,0.046,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2012,0.0,0.001,4.502,4.413,11.731,8.573,20.586,7.841,0.718,0.003,0.001,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2013,0.0,0.0,0.004,7.86,0.202,4.057,7.038,13.623,0.308,0.005,0.006,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2014,0.0,0.0,16.236,1.51,6.034,6.106,31.669,7.788,1.783,0.203,0.011,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2015,0.0,0.0,6.425,3.598,4.511,3.084,20.054,23.066,3.233,0.739,0.026,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2016,0.0,0.0,0.922,1.615,14.217,12.709,24.71,2.817,31.901,0.101,0.008,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2017,0.0,0.001,3.054,3.079,1.209,11.326,11.179,27.929,1.005,0.016,0.01,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2018,0.0,0.0,7.861,9.181,26.333,8.889,29.882,10.751,2.813,0.112,0.0,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2019,0.008,0.396,0.288,1.27,2.52,2.778,64.36,16.869,0.55,0.04,0.002,0.0,thousand_tonnes_C
Cem_Forest,monthly,ESB,2020,0.0,0.0,4.35,5.097,0.963,0.938,7.667,18.771,6.312,0.035,0.0,0.0,thousand_tonnes_C
