year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_djf,EAU
2003,2.269123066673983,Cem_Forest_NonForest,seasonal_djf,EAU
2004,0.0865301276734195,Cem_Forest_NonForest,seasonal_djf,EAU
2005,0.11845484183092647,Cem_Forest_NonForest,seasonal_djf,EAU
2006,0.3457697671103285,Cem_Forest_NonForest,seasonal_djf,EAU
2007,0.8536086080397256,Cem_Forest_NonForest,seasonal_djf,EAU
2008,0.004178687714233001,Cem_Forest_NonForest,seasonal_djf,EAU
2009,0.11505827950069303,Cem_Forest_NonForest,seasonal_djf,EAU
2010,0.6939882227822034,Cem_Forest_NonForest,seasonal_djf,EAU
2011,0.0004630265858477173,Cem_Forest_NonForest,seasonal_djf,EAU
2012,0.44902283646817603,Cem_Forest_NonForest,seasonal_djf,EAU
2013,2.091464843982247,Cem_Forest_NonForest,seasonal_djf,EAU
2014,1.8440141901261702,Cem_Forest_NonForest,seasonal_djf,EAU
2015,0.040640273324245496,Cem_Forest_NonForest,seasonal_djf,EAU
2016,0.31746316630366367,Cem_Forest_NonForest,seasonal_djf,EAU
2017,0.9423237088677541,Cem_Forest_NonForest,seasonal_djf,EAU
2018,0.7620390550072613,Cem_Forest_NonForest,seasonal_djf,EAU
2019,1.5446583556623175,Cem_Forest_NonForest,seasonal_djf,EAU
2020,40.31956817533573,Cem_Forest_NonForest,seasonal_djf,EAU
