year,sum,variable,timescale,region
2002,0.03501215586556085,Cem_Forest_NonForest,seasonal_mam,EEU
2003,0.08724963344984453,Cem_Forest_NonForest,seasonal_mam,EEU
2004,0.0783969550695593,Cem_Forest_NonForest,seasonal_mam,EEU
2005,0.038212366721997584,Cem_Forest_NonForest,seasonal_mam,EEU
2006,0.3090792059822979,Cem_Forest_NonForest,seasonal_mam,EEU
2007,0.035106537153648115,Cem_Forest_NonForest,seasonal_mam,EEU
2008,0.5067476965895217,Cem_Forest_NonForest,seasonal_mam,EEU
2009,0.4431587071989175,Cem_Forest_NonForest,seasonal_mam,EEU
2010,0.09246480601617225,Cem_Forest_NonForest,seasonal_mam,EEU
2011,0.06449942313595516,Cem_Forest_NonForest,seasonal_mam,EEU
2012,0.3718656776810624,Cem_Forest_NonForest,seasonal_mam,EEU
2013,0.093616508075074,Cem_Forest_NonForest,seasonal_mam,EEU
2014,0.014333040397200042,Cem_Forest_NonForest,seasonal_mam,EEU
2015,0.07390824684930229,Cem_Forest_NonForest,seasonal_mam,EEU
2016,0.056283394463607424,Cem_Forest_NonForest,seasonal_mam,EEU
2017,0.08450472133111543,Cem_Forest_NonForest,seasonal_mam,EEU
2018,0.049689101430524726,Cem_Forest_NonForest,seasonal_mam,EEU
2019,0.09648118140903236,Cem_Forest_NonForest,seasonal_mam,EEU
2020,0.052895931657636494,Cem_Forest_NonForest,seasonal_mam,EEU
