variable,timescale,region,year,sum,unit
Cem_Forest,seasonal_mam,RAR,2002,0.0,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2003,0.0,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2004,0.0,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2005,0.004,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2006,0.0,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2007,0.0,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2008,0.0,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2009,0.0,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2010,0.0,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2011,0.009,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2012,0.0,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2013,0.0,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2014,0.0,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2015,0.001,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2016,0.008,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2017,0.0,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2018,0.0,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2019,0.0,thousand_tonnes_C
Cem_Forest,seasonal_mam,RAR,2020,0.046,thousand_tonnes_C
