variable,timescale,region,year,sum,unit
Cem_Forest,seasonal_son,SEA,2002,52.219,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2003,8.29,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2004,41.721,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2005,7.279,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2006,86.915,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2007,2.277,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2008,0.674,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2009,34.753,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2010,0.454,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2011,11.338,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2012,21.986,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2013,4.286,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2014,38.307,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2015,68.245,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2016,0.391,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2017,0.596,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2018,9.231,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2019,55.204,thousand_tonnes_C
Cem_Forest,seasonal_son,SEA,2020,0.714,thousand_tonnes_C
