year,sum,variable,timescale,region
2002,41.52586707906108,Cem_Forest_NonForest,yearly,ESB
2003,153.70242370545782,Cem_Forest_NonForest,yearly,ESB
2004,6.200123810237782,Cem_Forest_NonForest,yearly,ESB
2005,5.796252999174608,Cem_Forest_NonForest,yearly,ESB
2006,50.0828801374917,Cem_Forest_NonForest,yearly,ESB
2007,21.395986123087596,Cem_Forest_NonForest,yearly,ESB
2008,54.34671286471016,Cem_Forest_NonForest,yearly,ESB
2009,15.10109744526994,Cem_Forest_NonForest,yearly,ESB
2010,2.9167969245635663,Cem_Forest_NonForest,yearly,ESB
2011,49.65665437243748,Cem_Forest_NonForest,yearly,ESB
2012,58.36832507183913,Cem_Forest_NonForest,yearly,ESB
2013,33.103185138355066,Cem_Forest_NonForest,yearly,ESB
2014,71.34066217446488,Cem_Forest_NonForest,yearly,ESB
2015,64.7368212893749,Cem_Forest_NonForest,yearly,ESB
2016,88.99857076364613,Cem_Forest_NonForest,yearly,ESB
2017,58.80749142209096,Cem_Forest_NonForest,yearly,ESB
2018,95.82180464210407,Cem_Forest_NonForest,yearly,ESB
2019,89.08023367658261,Cem_Forest_NonForest,yearly,ESB
2020,44.13432000763788,Cem_Forest_NonForest,yearly,ESB
