variable,timescale,region,year,sum,unit
Cem_Forest,yearly,NEN,2002,13.734,thousand_tonnes_C
Cem_Forest,yearly,NEN,2003,9.081,thousand_tonnes_C
Cem_Forest,yearly,NEN,2004,1.003,thousand_tonnes_C
Cem_Forest,yearly,NEN,2005,3.873,thousand_tonnes_C
Cem_Forest,yearly,NEN,2006,7.441,thousand_tonnes_C
Cem_Forest,yearly,NEN,2007,5.439,thousand_tonnes_C
Cem_Forest,yearly,NEN,2008,4.278,thousand_tonnes_C
Cem_Forest,yearly,NEN,2009,2.028,thousand_tonnes_C
Cem_Forest,yearly,NEN,2010,14.832,thousand_tonnes_C
Cem_Forest,yearly,NEN,2011,8.944,thousand_tonnes_C
Cem_Forest,yearly,NEN,2012,6.845,thousand_tonnes_C
Cem_Forest,yearly,NEN,2013,42.337,thousand_tonnes_C
Cem_Forest,yearly,NEN,2014,2.173,thousand_tonnes_C
Cem_Forest,yearly,NEN,2015,6.758,thousand_tonnes_C
Cem_Forest,yearly,NEN,2016,0.533,thousand_tonnes_C
Cem_Forest,yearly,NEN,2017,12.109,thousand_tonnes_C
Cem_Forest,yearly,NEN,2018,4.748,thousand_tonnes_C
Cem_Forest,yearly,NEN,2019,3.805,thousand_tonnes_C
Cem_Forest,yearly,NEN,2020,0.237,thousand_tonnes_C
