variable,timescale,region,year,sum,unit
Cem_Forest,yearly_jj,ESAF,2002,3.883,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2003,111.446,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2004,91.0,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2005,83.1,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2006,63.311,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2007,74.401,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2008,69.71,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2009,63.422,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2010,52.284,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2011,84.539,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2012,59.726,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2013,59.308,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2014,70.361,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2015,58.514,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2016,67.33,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2017,85.826,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2018,68.044,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2019,81.635,thousand_tonnes_C
Cem_Forest,yearly_jj,ESAF,2020,68.491,thousand_tonnes_C
