year,sum,variable,timescale,region
2002,0.05773640470247085,Cem_Forest_NonForest,yearly_jj,NEU
2003,0.3253446568460404,Cem_Forest_NonForest,yearly_jj,NEU
2004,0.05288434705200787,Cem_Forest_NonForest,yearly_jj,NEU
2005,0.045270680421312985,Cem_Forest_NonForest,yearly_jj,NEU
2006,0.23932216189834724,Cem_Forest_NonForest,yearly_jj,NEU
2007,0.35023571908492035,Cem_Forest_NonForest,yearly_jj,NEU
2008,0.16317927416910236,Cem_Forest_NonForest,yearly_jj,NEU
2009,0.034752525310684276,Cem_Forest_NonForest,yearly_jj,NEU
2010,0.06977404835714472,Cem_Forest_NonForest,yearly_jj,NEU
2011,0.1070492967772643,Cem_Forest_NonForest,yearly_jj,NEU
2012,0.12466506626483845,Cem_Forest_NonForest,yearly_jj,NEU
2013,0.08499285372599405,Cem_Forest_NonForest,yearly_jj,NEU
2014,0.03202779415729842,Cem_Forest_NonForest,yearly_jj,NEU
2015,0.2627962078631878,Cem_Forest_NonForest,yearly_jj,NEU
2016,0.014991307069405975,Cem_Forest_NonForest,yearly_jj,NEU
2017,0.019443193688231053,Cem_Forest_NonForest,yearly_jj,NEU
2018,0.04123991746498382,Cem_Forest_NonForest,yearly_jj,NEU
2019,0.2406973361896118,Cem_Forest_NonForest,yearly_jj,NEU
2020,0.008500650571710533,Cem_Forest_NonForest,yearly_jj,NEU
