variable,timescale,region,year,sum,unit
Cem_Forest,yearly_jj,WCA,2002,0.063,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2003,0.236,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2004,0.049,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2005,0.158,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2006,0.074,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2007,0.272,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2008,0.084,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2009,0.074,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2010,0.084,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2011,0.394,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2012,0.139,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2013,0.074,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2014,0.059,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2015,0.066,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2016,0.106,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2017,0.199,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2018,0.179,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2019,0.068,thousand_tonnes_C
Cem_Forest,yearly_jj,WCA,2020,0.205,thousand_tonnes_C
