variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
Cem_Total,monthly,MED,2002,0.035,0.055,0.029,0.006,0.022,0.477,1.135,0.815,0.454,0.228,0.042,0.002,thousand_tonnes_C
Cem_Total,monthly,MED,2003,0.02,0.005,0.101,0.015,0.09,0.725,1.235,4.357,1.44,0.495,0.091,0.0,thousand_tonnes_C
Cem_Total,monthly,MED,2004,0.003,0.043,0.063,0.021,0.03,0.796,1.81,1.848,1.734,0.615,0.09,0.021,thousand_tonnes_C
Cem_Total,monthly,MED,2005,0.062,0.09,0.241,0.01,0.124,0.767,1.923,4.97,0.985,0.551,0.136,0.017,thousand_tonnes_C
Cem_Total,monthly,MED,2006,0.03,0.032,0.366,0.02,0.069,0.44,0.835,4.719,1.005,0.462,0.278,0.02,thousand_tonnes_C
Cem_Total,monthly,MED,2007,0.107,0.025,0.062,0.014,0.027,0.751,3.569,5.327,1.407,0.418,0.118,0.006,thousand_tonnes_C
Cem_Total,monthly,MED,2008,0.028,0.193,0.022,0.021,0.085,0.382,1.213,3.39,1.256,0.386,0.086,0.007,thousand_tonnes_C
Cem_Total,monthly,MED,2009,0.003,0.027,0.168,0.015,0.055,0.516,1.683,2.216,2.216,0.626,0.127,0.001,thousand_tonnes_C
Cem_Total,monthly,MED,2010,0.0,0.0,0.067,0.012,0.06,0.236,0.643,2.962,1.13,0.66,0.456,0.029,thousand_tonnes_C
Cem_Total,monthly,MED,2011,0.003,0.145,0.254,0.041,0.037,0.216,0.519,2.135,2.608,1.608,0.317,0.047,thousand_tonnes_C
Cem_Total,monthly,MED,2012,0.017,0.207,0.445,0.023,0.072,0.449,2.277,3.752,2.843,0.532,0.017,0.001,thousand_tonnes_C
Cem_Total,monthly,MED,2013,0.001,0.005,0.001,0.033,0.148,0.166,0.667,2.34,1.487,1.164,0.15,0.082,thousand_tonnes_C
Cem_Total,monthly,MED,2014,0.017,0.021,0.144,0.019,0.048,0.245,0.406,1.246,0.754,0.778,0.092,0.007,thousand_tonnes_C
Cem_Total,monthly,MED,2015,0.009,0.018,0.052,0.058,0.294,0.607,1.339,1.448,0.854,0.416,0.252,0.185,thousand_tonnes_C
Cem_Total,monthly,MED,2016,0.016,0.012,0.027,0.005,0.057,0.5,0.9,3.222,1.617,0.445,0.379,0.077,thousand_tonnes_C
Cem_Total,monthly,MED,2017,0.016,0.112,0.087,0.231,0.067,1.707,2.566,4.813,0.946,7.723,0.163,0.027,thousand_tonnes_C
Cem_Total,monthly,MED,2018,0.004,0.002,0.0,0.012,0.062,0.095,0.148,0.852,0.483,0.669,0.099,0.002,thousand_tonnes_C
Cem_Total,monthly,MED,2019,0.014,0.227,0.213,0.018,0.342,0.464,0.708,0.991,1.935,1.157,0.256,0.075,thousand_tonnes_C
Cem_Total,monthly,MED,2020,0.013,0.081,0.075,0.167,0.11,0.807,0.892,1.474,1.543,0.506,0.366,0.02,thousand_tonnes_C
