variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
Cem_Total,monthly,SAH,2002,0.194,0.189,0.174,0.07,0.082,0.027,0.041,0.0,0.008,0.128,0.25,0.092,thousand_tonnes_C
Cem_Total,monthly,SAH,2003,0.082,0.061,0.051,0.038,0.016,0.007,0.0,0.0,0.025,0.623,1.025,0.323,thousand_tonnes_C
Cem_Total,monthly,SAH,2004,0.126,0.426,0.256,0.121,0.258,0.082,0.017,0.0,0.099,1.717,0.652,0.081,thousand_tonnes_C
Cem_Total,monthly,SAH,2005,0.077,0.056,0.364,0.252,0.029,0.037,0.0,0.0,0.063,1.514,1.545,0.157,thousand_tonnes_C
Cem_Total,monthly,SAH,2006,0.045,0.126,0.116,0.113,0.116,0.058,0.015,0.0,0.024,1.608,1.001,0.162,thousand_tonnes_C
Cem_Total,monthly,SAH,2007,0.16,0.121,0.141,0.193,0.134,0.07,0.171,0.028,0.037,1.513,1.656,0.225,thousand_tonnes_C
Cem_Total,monthly,SAH,2008,0.089,0.29,0.253,0.2,0.089,0.062,0.03,0.0,0.024,1.126,1.224,0.31,thousand_tonnes_C
Cem_Total,monthly,SAH,2009,0.088,0.133,0.154,0.144,0.109,0.126,0.024,0.036,0.015,0.997,0.711,0.338,thousand_tonnes_C
Cem_Total,monthly,SAH,2010,0.166,0.339,0.535,0.074,0.104,0.047,0.002,0.0,0.012,1.373,1.769,0.359,thousand_tonnes_C
Cem_Total,monthly,SAH,2011,0.205,0.227,0.273,0.192,0.095,0.09,0.027,0.0,0.056,0.495,0.362,0.173,thousand_tonnes_C
Cem_Total,monthly,SAH,2012,0.038,0.06,0.081,0.036,0.024,0.021,0.047,0.049,0.077,0.73,1.147,0.341,thousand_tonnes_C
Cem_Total,monthly,SAH,2013,0.181,0.192,0.288,0.167,0.171,0.089,0.003,0.0,0.049,0.749,0.568,0.228,thousand_tonnes_C
Cem_Total,monthly,SAH,2014,0.073,0.135,0.2,0.057,0.031,0.022,0.007,0.0,0.01,0.194,0.347,0.098,thousand_tonnes_C
Cem_Total,monthly,SAH,2015,0.06,0.049,0.089,0.105,0.023,0.02,0.0,0.0,0.046,0.168,1.042,0.246,thousand_tonnes_C
Cem_Total,monthly,SAH,2016,0.12,0.191,0.075,0.1,0.069,0.081,0.01,0.033,0.012,0.531,0.419,0.232,thousand_tonnes_C
Cem_Total,monthly,SAH,2017,0.057,0.079,0.108,0.141,0.042,0.042,0.008,0.0,0.053,0.498,0.164,0.024,thousand_tonnes_C
Cem_Total,monthly,SAH,2018,0.029,0.064,0.08,0.04,0.034,0.006,0.0,0.0,0.004,0.409,0.402,0.127,thousand_tonnes_C
Cem_Total,monthly,SAH,2019,0.135,0.041,0.064,0.129,0.129,0.096,0.038,0.07,0.005,0.385,0.273,0.147,thousand_tonnes_C
Cem_Total,monthly,SAH,2020,0.091,0.154,0.124,0.099,0.073,0.05,0.002,0.014,0.019,1.165,0.856,0.253,thousand_tonnes_C
