variable,timescale,region,year,sum,unit
Cem_Total,seasonal_djf,SAU,2002,0.0,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2003,19.828,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2004,0.75,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2005,13.37,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2006,5.415,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2007,15.843,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2008,6.232,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2009,9.143,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2010,7.604,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2011,0.872,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2012,4.957,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2013,6.466,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2014,9.928,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2015,7.856,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2016,7.868,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2017,2.082,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2018,2.905,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2019,14.838,thousand_tonnes_C
Cem_Total,seasonal_djf,SAU,2020,101.952,thousand_tonnes_C
