variable,timescale,region,year,sum,unit
Cem_Total,seasonal_djf,WSB,2002,0.0,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2003,0.0,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2004,0.014,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2005,0.02,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2006,0.007,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2007,0.0,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2008,0.026,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2009,0.021,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2010,0.0,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2011,0.001,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2012,0.0,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2013,0.003,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2014,0.0,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2015,0.0,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2016,0.001,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2017,0.0,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2018,0.001,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2019,0.0,thousand_tonnes_C
Cem_Total,seasonal_djf,WSB,2020,0.002,thousand_tonnes_C
