variable,timescale,region,year,sum,unit
Cem_Total,seasonal_jja,CAU,2002,5.955,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2003,0.316,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2004,0.309,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2005,0.091,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2006,0.734,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2007,0.816,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2008,0.464,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2009,0.505,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2010,0.317,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2011,10.166,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2012,6.295,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2013,0.196,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2014,0.796,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2015,1.126,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2016,0.171,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2017,3.418,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2018,1.723,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2019,0.191,thousand_tonnes_C
Cem_Total,seasonal_jja,CAU,2020,0.1,thousand_tonnes_C
