variable,timescale,region,year,sum,unit
Cem_Total,seasonal_jja,NWS,2002,0.48,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2003,0.315,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2004,0.185,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2005,1.318,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2006,0.206,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2007,0.265,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2008,0.155,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2009,0.287,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2010,0.805,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2011,0.198,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2012,0.383,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2013,0.094,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2014,0.333,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2015,0.347,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2016,0.372,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2017,0.215,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2018,0.107,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2019,0.411,thousand_tonnes_C
Cem_Total,seasonal_jja,NWS,2020,0.246,thousand_tonnes_C
