variable,timescale,region,year,sum,unit
Cem_Total,seasonal_jja,WAF,2002,0.541,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2003,0.095,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2004,0.451,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2005,0.163,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2006,0.687,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2007,0.306,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2008,0.283,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2009,0.318,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2010,0.422,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2011,0.577,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2012,0.146,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2013,0.329,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2014,0.385,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2015,0.183,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2016,0.778,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2017,0.389,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2018,0.18,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2019,0.456,thousand_tonnes_C
Cem_Total,seasonal_jja,WAF,2020,0.16,thousand_tonnes_C
