variable,timescale,region,year,sum,unit
Cem_Total,seasonal_son,MDG,2002,4.175,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2003,9.745,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2004,5.545,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2005,10.789,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2006,8.781,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2007,8.868,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2008,4.902,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2009,8.251,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2010,8.657,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2011,8.656,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2012,6.825,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2013,8.576,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2014,5.67,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2015,7.171,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2016,8.415,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2017,7.401,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2018,5.823,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2019,5.384,thousand_tonnes_C
Cem_Total,seasonal_son,MDG,2020,6.481,thousand_tonnes_C
