year,sum,variable,timescale,region
2002,0.7876103864316129,Cem_Total,seasonal_son,WNA
2003,3.280584953180867,Cem_Total,seasonal_son,WNA
2004,0.8835605541636347,Cem_Total,seasonal_son,WNA
2005,1.3270545001962069,Cem_Total,seasonal_son,WNA
2006,3.9571350994182253,Cem_Total,seasonal_son,WNA
2007,2.7019061375225752,Cem_Total,seasonal_son,WNA
2008,1.720639742455775,Cem_Total,seasonal_son,WNA
2009,1.423727523039453,Cem_Total,seasonal_son,WNA
2010,1.1561808116832308,Cem_Total,seasonal_son,WNA
2011,1.3612853768937203,Cem_Total,seasonal_son,WNA
2012,3.3883350043375335,Cem_Total,seasonal_son,WNA
2013,0.5952180896259535,Cem_Total,seasonal_son,WNA
2014,1.8389785970566326,Cem_Total,seasonal_son,WNA
2015,2.8036302138165463,Cem_Total,seasonal_son,WNA
2016,1.6534208414511444,Cem_Total,seasonal_son,WNA
2017,9.135111832517854,Cem_Total,seasonal_son,WNA
2018,4.075205889921841,Cem_Total,seasonal_son,WNA
2019,1.6742367715327955,Cem_Total,seasonal_son,WNA
2020,35.54949397383969,Cem_Total,seasonal_son,WNA
