variable,timescale,region,year,sum,unit
Cem_Total,yearly,EAS,2002,5.242,thousand_tonnes_C
Cem_Total,yearly,EAS,2003,9.549,thousand_tonnes_C
Cem_Total,yearly,EAS,2004,19.093,thousand_tonnes_C
Cem_Total,yearly,EAS,2005,17.985,thousand_tonnes_C
Cem_Total,yearly,EAS,2006,18.842,thousand_tonnes_C
Cem_Total,yearly,EAS,2007,26.148,thousand_tonnes_C
Cem_Total,yearly,EAS,2008,9.981,thousand_tonnes_C
Cem_Total,yearly,EAS,2009,14.972,thousand_tonnes_C
Cem_Total,yearly,EAS,2010,22.828,thousand_tonnes_C
Cem_Total,yearly,EAS,2011,11.109,thousand_tonnes_C
Cem_Total,yearly,EAS,2012,21.686,thousand_tonnes_C
Cem_Total,yearly,EAS,2013,13.652,thousand_tonnes_C
Cem_Total,yearly,EAS,2014,15.606,thousand_tonnes_C
Cem_Total,yearly,EAS,2015,11.076,thousand_tonnes_C
Cem_Total,yearly,EAS,2016,10.262,thousand_tonnes_C
Cem_Total,yearly,EAS,2017,8.154,thousand_tonnes_C
Cem_Total,yearly,EAS,2018,3.337,thousand_tonnes_C
Cem_Total,yearly,EAS,2019,8.741,thousand_tonnes_C
Cem_Total,yearly,EAS,2020,17.069,thousand_tonnes_C
