variable,timescale,region,year,sum,unit
Cem_Total,yearly_jj,SAM,2002,5.214,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2003,106.243,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2004,68.468,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2005,127.898,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2006,124.623,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2007,72.454,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2008,159.427,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2009,52.632,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2010,26.876,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2011,186.204,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2012,44.27,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2013,62.675,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2014,23.91,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2015,31.595,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2016,47.548,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2017,67.422,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2018,98.221,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2019,32.394,thousand_tonnes_C
Cem_Total,yearly_jj,SAM,2020,137.607,thousand_tonnes_C
