year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,region
2001,0.009000000000000001,0.033,0.004,0.039,0.26,0.128,0.011,0.0,0.001,0.001,0.0,0.0,BA_Forest_NonForest,monthly,NE
2002,0.0,0.0,0.0,0.0,0.052000000000000005,0.089,0.4,0.009999999999999998,0.027,0.002,0.0,0.0,BA_Forest_NonForest,monthly,NE
2003,0.0,0.006,0.001,0.002,0.15800000000000003,0.065,0.002,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2005,0.0,0.0,0.0,0.016,0.45499999999999996,0.08700000000000001,0.007,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2006,0.0,0.0,0.0,0.009999999999999998,0.02,0.023,0.008,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2007,0.0,0.0,0.0,0.0,0.07,0.032,0.045,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2008,0.0,0.0,0.0,0.0,0.032,0.09000000000000001,0.002,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2009,0.0,0.0,0.013000000000000001,0.0,0.262,0.252,0.042,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2010,0.0,0.0,0.0,0.0,0.019,0.261,0.021,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2011,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2012,0.0,0.0,0.0,0.0,0.004,0.003,0.0,0.0,0.0,0.001,0.0,0.0,BA_Forest_NonForest,monthly,NE
2013,0.0,0.0,0.0,0.0,0.116,0.025,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2014,0.0,0.0,0.0,0.0,0.017,0.05,0.09200000000000001,0.0,0.0,0.0,0.001,0.0,BA_Forest_NonForest,monthly,NE
2015,0.0,0.0,0.0,0.007,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2016,0.0,0.0,0.0,0.002,0.005,0.033,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2017,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.007,0.013000000000000001,0.0,0.0,BA_Forest_NonForest,monthly,NE
2018,0.0,0.0,0.0,0.0,0.091,0.174,0.0,0.0,0.0,0.001,0.0,0.0,BA_Forest_NonForest,monthly,NE
2019,0.0,0.0,0.015,0.002,0.065,0.136,0.065,0.0,0.001,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2020,0.0,0.0,0.0,0.0,0.005,0.004,0.003,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2021,0.0,0.0,0.0,0.0,0.005,0.004,0.020999999999999998,0.0,0.0,0.08,0.0,0.0,BA_Forest_NonForest,monthly,NE
2022,0.0,0.0,0.007,0.0,0.016,0.017,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NE
2023,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,BA_Forest_NonForest,monthly,NE
