year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,region
2001,0.017,0.067,0.10400000000000001,0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,PA
2002,0.002,0.008,0.021,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,PA
2003,0.023,0.099,1.3900000000000003,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,BA_Forest_NonForest,monthly,PA
2004,0.002,0.030000000000000002,0.319,1.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,PA
2005,0.020999999999999998,0.054000000000000006,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,PA
2006,0.0,0.048,0.5280000000000001,0.15300000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,BA_Forest_NonForest,monthly,PA
2007,0.007,0.032,0.141,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,PA
2008,0.001,0.003,0.084,0.16200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,PA
2009,0.001,0.012,0.31500000000000006,0.6,0.004,0.0,0.0,0.0,0.0,0.0,0.003,0.001,BA_Forest_NonForest,monthly,PA
2010,0.005,0.006,0.048,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,BA_Forest_NonForest,monthly,PA
2011,0.002,0.003,0.031,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,BA_Forest_NonForest,monthly,PA
2012,0.006,0.036,0.28400000000000003,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,PA
2013,0.004,0.033,0.077,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,BA_Forest_NonForest,monthly,PA
2014,0.016,0.07600000000000001,0.10800000000000001,0.2,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,BA_Forest_NonForest,monthly,PA
2015,0.028,0.09100000000000001,0.29600000000000004,0.5900000000000001,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,BA_Forest_NonForest,monthly,PA
2016,0.014,0.079,0.174,0.35800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,BA_Forest_NonForest,monthly,PA
2017,0.016999999999999998,0.039,0.024000000000000004,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,PA
2018,0.02,0.027,0.051000000000000004,0.07700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,PA
2019,0.027,0.069,0.5130000000000001,0.34700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,PA
2020,0.009000000000000001,0.007,0.134,0.3400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,BA_Forest_NonForest,monthly,PA
2021,0.0,0.006,0.027,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,PA
2022,0.002,0.021,0.026000000000000002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,PA
2023,0.0,0.022000000000000002,0.14600000000000002,0.027000000000000003,0.0,0.0,,,,,,,BA_Forest_NonForest,monthly,PA
