year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,region
2001,1.1880000000000004,1.3270000000000002,1.9220000000000002,0.09000000000000001,0.005,0.0,0.0,0.0,0.0,0.0,0.003,0.047,BA_Forest_NonForest,monthly,TH
2002,3.5000000000000004,3.3620000000000005,5.784999999999999,2.4970000000000003,0.005,0.0,0.002,0.015,0.0,0.002,0.029,0.02,BA_Forest_NonForest,monthly,TH
2003,0.913,1.335,2.9340000000000006,1.803,0.06,0.0,0.001,0.003,0.0,0.003,0.06100000000000001,0.20400000000000001,BA_Forest_NonForest,monthly,TH
2004,0.7210000000000001,1.8480000000000005,14.730999999999998,2.3179999999999996,0.10200000000000001,0.0,0.0,0.0,0.0,0.0,0.023000000000000003,0.045,BA_Forest_NonForest,monthly,TH
2005,6.2219999999999995,8.701999999999998,7.235999999999999,1.3519999999999999,0.034,0.014,0.0,0.0,0.0,0.008,0.0,0.101,BA_Forest_NonForest,monthly,TH
2006,0.6950000000000002,3.446,5.0729999999999995,1.914,0.022000000000000002,0.0,0.0,0.0,0.0,0.001,0.038000000000000006,0.123,BA_Forest_NonForest,monthly,TH
2007,4.399000000000001,11.07,18.696,2.6699999999999995,0.011,0.001,0.0,0.002,0.0,0.0,0.011,0.18200000000000002,BA_Forest_NonForest,monthly,TH
2008,1.9600000000000002,1.447,9.408999999999999,1.357,0.016,0.0,0.0,0.001,0.0,0.0,0.0,0.047,BA_Forest_NonForest,monthly,TH
2009,1.8920000000000003,11.358999999999998,7.013999999999999,4.438999999999999,0.002,0.001,0.013999999999999999,0.002,0.006,0.0,0.012,0.17700000000000002,BA_Forest_NonForest,monthly,TH
2010,0.5539999999999999,3.1380000000000003,7.128000000000001,3.2689999999999997,0.086,0.003,0.009000000000000001,0.0,0.0,0.0,0.017,0.008,BA_Forest_NonForest,monthly,TH
2011,0.5630000000000001,4.65,2.386,0.35900000000000004,0.035,0.0,0.0,0.001,0.0,0.0,0.011000000000000001,0.05399999999999999,BA_Forest_NonForest,monthly,TH
2012,1.5020000000000004,3.4080000000000004,8.487,0.735,0.008,0.0,0.0,0.023,0.0,0.0,0.0,0.037000000000000005,BA_Forest_NonForest,monthly,TH
2013,2.0440000000000005,2.2960000000000003,2.958,2.6240000000000006,0.101,0.0,0.0,0.0,0.004,0.009000000000000001,0.003,0.014,BA_Forest_NonForest,monthly,TH
2014,0.8630000000000001,8.761,12.620999999999999,3.5170000000000003,0.05,0.0,0.0,0.009000000000000001,0.0,0.0,0.005,0.08400000000000002,BA_Forest_NonForest,monthly,TH
2015,2.238,6.2200000000000015,13.738999999999999,1.881,0.08200000000000002,0.008,0.0,0.001,0.001,0.0,0.004,0.15000000000000002,BA_Forest_NonForest,monthly,TH
2016,1.7880000000000003,6.403,7.356,6.997999999999999,0.8540000000000001,0.001,0.0,0.019,0.005,0.0,0.002,0.004,BA_Forest_NonForest,monthly,TH
2017,0.44800000000000006,5.074000000000002,12.289999999999997,0.512,0.046999999999999986,0.0,0.0,0.0,0.005,0.003,0.026,0.091,BA_Forest_NonForest,monthly,TH
2018,0.644,1.361,2.3820000000000006,2.228,0.023,0.0,0.0,0.0,0.0,0.001,0.029,0.136,BA_Forest_NonForest,monthly,TH
2019,0.6670000000000001,3.806,2.4870000000000005,3.214000000000001,1.1880000000000002,0.017,0.008,0.025,0.001,0.002,0.015,0.501,BA_Forest_NonForest,monthly,TH
2020,2.0380000000000003,7.262,9.835999999999999,5.911000000000001,0.16000000000000003,0.007,0.0,0.0,0.0,0.0,0.004,0.012,BA_Forest_NonForest,monthly,TH
2021,0.44,4.899,4.3870000000000005,0.19499999999999998,0.01,0.0,0.0,0.046,0.0,0.0,0.006,0.020000000000000004,BA_Forest_NonForest,monthly,TH
2022,0.449,0.876,0.464,0.28400000000000003,0.013000000000000001,0.0,0.0,0.007,0.0,0.0,0.001,0.008,BA_Forest_NonForest,monthly,TH
2023,0.666,7.236,4.719,2.308,0.3,0.003,,,,,,,BA_Forest_NonForest,monthly,TH
