year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,country
2001,0.003,0.0,0.028000000000000004,0.012,0.0,0.002,0.139,0.19900000000000007,0.04900000000000001,0.2,0.0,0.0,BA_Forest_NonForest,monthly,UKR
2002,0.005,0.07800000000000001,0.6410000000000002,0.002,0.0,0.06300000000000001,0.7210000000000001,0.677,0.6170000000000001,0.011,0.017,0.0,BA_Forest_NonForest,monthly,UKR
2003,0.0,0.0,0.59,0.41800000000000004,0.012,0.021,0.018000000000000002,0.183,0.218,0.17300000000000004,0.009,0.0,BA_Forest_NonForest,monthly,UKR
2004,0.0,0.005,0.268,0.17000000000000004,0.0,0.001,0.266,0.8650000000000003,0.4520000000000002,0.166,0.002,0.0,BA_Forest_NonForest,monthly,UKR
2005,0.0,0.0,0.3570000000000001,0.23200000000000004,0.003,0.003,0.08600000000000001,0.04700000000000001,0.048,1.0750000000000002,0.0,0.0,BA_Forest_NonForest,monthly,UKR
2006,0.0,0.0,1.181,0.23000000000000004,0.006,0.006,0.6630000000000003,0.5120000000000001,0.23300000000000007,0.14100000000000004,0.0,0.003,BA_Forest_NonForest,monthly,UKR
2007,0.11,0.14400000000000007,1.4750000000000005,0.006,0.004,0.04600000000000001,0.3510000000000001,0.32100000000000006,0.075,0.07,0.001,0.001,BA_Forest_NonForest,monthly,UKR
2008,0.006,0.10800000000000001,0.013,0.001,0.001,0.003,0.37400000000000017,1.3180000000000007,0.3240000000000001,0.137,0.036000000000000004,0.0,BA_Forest_NonForest,monthly,UKR
2009,0.0,0.005,2.0810000000000004,0.3340000000000001,0.002,0.001,0.047,0.045000000000000005,0.08900000000000001,0.31600000000000006,0.0,0.0,BA_Forest_NonForest,monthly,UKR
2010,0.0,0.0,1.8630000000000002,0.0,0.0,0.001,0.033,0.072,0.019000000000000003,0.3610000000000001,0.11800000000000002,0.0,BA_Forest_NonForest,monthly,UKR
2011,0.0,0.012,1.3120000000000003,0.05900000000000001,0.0,0.002,0.009000000000000001,0.060000000000000005,0.099,0.28,0.23,0.015,BA_Forest_NonForest,monthly,UKR
2012,0.0,0.536,3.795,0.010000000000000002,0.0,0.003,0.051000000000000004,0.068,0.024,0.19900000000000004,0.005,0.0,BA_Forest_NonForest,monthly,UKR
2013,0.0,0.009000000000000001,0.3150000000000001,1.6060000000000003,0.002,0.004,0.021000000000000005,0.12600000000000003,0.026000000000000002,0.383,0.038000000000000006,0.0,BA_Forest_NonForest,monthly,UKR
2014,0.0,0.9160000000000003,0.5410000000000001,0.012,0.0,0.004,0.07300000000000001,0.068,0.10300000000000001,3.2260000000000018,0.164,0.0,BA_Forest_NonForest,monthly,UKR
2015,0.0,1.5720000000000003,1.7300000000000006,0.3980000000000001,0.005,0.016,0.076,0.5650000000000001,0.666,1.6230000000000004,1.1540000000000004,0.033,BA_Forest_NonForest,monthly,UKR
2016,0.0,0.001,0.06,0.003,0.0,0.007,0.065,0.09700000000000002,0.15700000000000003,0.184,0.028000000000000004,0.0,BA_Forest_NonForest,monthly,UKR
2017,0.0,0.5290000000000001,0.2810000000000001,0.054,0.0,0.001,0.11100000000000002,0.16100000000000003,0.11700000000000003,0.55,0.002,0.0,BA_Forest_NonForest,monthly,UKR
2018,0.0,0.0,2.1030000000000006,0.5550000000000002,0.001,0.0,0.010000000000000002,0.038000000000000006,0.024,0.378,0.07300000000000001,0.0,BA_Forest_NonForest,monthly,UKR
2019,0.001,0.183,0.38200000000000006,0.356,0.001,0.031,0.099,0.05500000000000001,0.055,2.4740000000000006,0.098,0.001,BA_Forest_NonForest,monthly,UKR
2020,0.009,0.15800000000000003,0.9210000000000002,3.361999999999998,0.003,0.007,0.059,0.07700000000000001,0.31800000000000006,1.0850000000000002,0.014000000000000002,0.0,BA_Forest_NonForest,monthly,UKR
2021,0.0,0.012,0.161,0.005,0.0,0.001,0.043000000000000003,0.05800000000000002,0.038,0.24000000000000002,0.046000000000000006,0.0,BA_Forest_NonForest,monthly,UKR
2022,0.001,0.038000000000000006,1.5750000000000002,0.01,0.299,0.12200000000000001,0.05499999999999999,0.187,0.018000000000000002,0.07300000000000001,0.001,0.0,BA_Forest_NonForest,monthly,UKR
2023,0.0,0.001,0.007,0.0,0.018,0.12200000000000001,,,,,,,BA_Forest_NonForest,monthly,UKR
