year,sum,variable,timescale,country
2001,0.0,BA_Forest_NonForest,seasonal_djf,KOR
2002,0.001,BA_Forest_NonForest,seasonal_djf,KOR
2003,0.0,BA_Forest_NonForest,seasonal_djf,KOR
2004,0.003,BA_Forest_NonForest,seasonal_djf,KOR
2005,0.0,BA_Forest_NonForest,seasonal_djf,KOR
2006,0.0,BA_Forest_NonForest,seasonal_djf,KOR
2007,0.0,BA_Forest_NonForest,seasonal_djf,KOR
2008,0.0,BA_Forest_NonForest,seasonal_djf,KOR
2009,0.005,BA_Forest_NonForest,seasonal_djf,KOR
2010,0.0,BA_Forest_NonForest,seasonal_djf,KOR
2011,0.019,BA_Forest_NonForest,seasonal_djf,KOR
2012,0.039,BA_Forest_NonForest,seasonal_djf,KOR
2013,0.0,BA_Forest_NonForest,seasonal_djf,KOR
2014,0.002,BA_Forest_NonForest,seasonal_djf,KOR
2015,0.0,BA_Forest_NonForest,seasonal_djf,KOR
2016,0.003,BA_Forest_NonForest,seasonal_djf,KOR
2017,0.005,BA_Forest_NonForest,seasonal_djf,KOR
2018,0.0,BA_Forest_NonForest,seasonal_djf,KOR
2019,0.0,BA_Forest_NonForest,seasonal_djf,KOR
2020,0.0,BA_Forest_NonForest,seasonal_djf,KOR
2021,0.0,BA_Forest_NonForest,seasonal_djf,KOR
2022,0.005,BA_Forest_NonForest,seasonal_djf,KOR
2023,0.013,BA_Forest_NonForest,seasonal_djf,KOR
