year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,seasonal_djf,ZA
2002,0.09999999999999999,BA_Forest_NonForest,seasonal_djf,ZA
2003,1.4120000000000001,BA_Forest_NonForest,seasonal_djf,ZA
2004,1.1340000000000001,BA_Forest_NonForest,seasonal_djf,ZA
2005,0.133,BA_Forest_NonForest,seasonal_djf,ZA
2006,0.874,BA_Forest_NonForest,seasonal_djf,ZA
2007,0.08600000000000001,BA_Forest_NonForest,seasonal_djf,ZA
2008,0.08600000000000001,BA_Forest_NonForest,seasonal_djf,ZA
2009,0.48100000000000004,BA_Forest_NonForest,seasonal_djf,ZA
2010,0.7469999999999999,BA_Forest_NonForest,seasonal_djf,ZA
2011,0.023,BA_Forest_NonForest,seasonal_djf,ZA
2012,0.135,BA_Forest_NonForest,seasonal_djf,ZA
2013,0.301,BA_Forest_NonForest,seasonal_djf,ZA
2014,0.054000000000000006,BA_Forest_NonForest,seasonal_djf,ZA
2015,0.152,BA_Forest_NonForest,seasonal_djf,ZA
2016,0.239,BA_Forest_NonForest,seasonal_djf,ZA
2017,0.789,BA_Forest_NonForest,seasonal_djf,ZA
2018,0.29300000000000004,BA_Forest_NonForest,seasonal_djf,ZA
2019,0.6950000000000001,BA_Forest_NonForest,seasonal_djf,ZA
2020,0.4649999999999999,BA_Forest_NonForest,seasonal_djf,ZA
2021,0.45799999999999996,BA_Forest_NonForest,seasonal_djf,ZA
2022,0.879,BA_Forest_NonForest,seasonal_djf,ZA
2023,0.607,BA_Forest_NonForest,seasonal_djf,ZA
