year,sum,variable,timescale,region
2001,0.007,BA_Forest_NonForest,seasonal_jja,HU
2002,0.001,BA_Forest_NonForest,seasonal_jja,HU
2003,0.0,BA_Forest_NonForest,seasonal_jja,HU
2004,0.0,BA_Forest_NonForest,seasonal_jja,HU
2005,0.001,BA_Forest_NonForest,seasonal_jja,HU
2006,0.0,BA_Forest_NonForest,seasonal_jja,HU
2007,0.001,BA_Forest_NonForest,seasonal_jja,HU
2008,0.004,BA_Forest_NonForest,seasonal_jja,HU
2009,0.001,BA_Forest_NonForest,seasonal_jja,HU
2010,0.001,BA_Forest_NonForest,seasonal_jja,HU
2011,0.0,BA_Forest_NonForest,seasonal_jja,HU
2012,0.0,BA_Forest_NonForest,seasonal_jja,HU
2013,0.001,BA_Forest_NonForest,seasonal_jja,HU
2014,0.0,BA_Forest_NonForest,seasonal_jja,HU
2015,0.006,BA_Forest_NonForest,seasonal_jja,HU
2016,0.0,BA_Forest_NonForest,seasonal_jja,HU
2017,0.0,BA_Forest_NonForest,seasonal_jja,HU
2018,0.0,BA_Forest_NonForest,seasonal_jja,HU
2019,0.0,BA_Forest_NonForest,seasonal_jja,HU
2020,0.0,BA_Forest_NonForest,seasonal_jja,HU
2021,0.0,BA_Forest_NonForest,seasonal_jja,HU
2022,0.005,BA_Forest_NonForest,seasonal_jja,HU
2023,0.0,BA_Forest_NonForest,seasonal_jja,HU
