year,sum,variable,timescale,country
2001,0.001,BA_Forest_NonForest,seasonal_jja,KAZ
2002,0.011,BA_Forest_NonForest,seasonal_jja,KAZ
2003,0.009000000000000001,BA_Forest_NonForest,seasonal_jja,KAZ
2004,0.0,BA_Forest_NonForest,seasonal_jja,KAZ
2005,0.001,BA_Forest_NonForest,seasonal_jja,KAZ
2006,0.031,BA_Forest_NonForest,seasonal_jja,KAZ
2007,0.093,BA_Forest_NonForest,seasonal_jja,KAZ
2008,0.053000000000000005,BA_Forest_NonForest,seasonal_jja,KAZ
2009,0.0,BA_Forest_NonForest,seasonal_jja,KAZ
2010,0.001,BA_Forest_NonForest,seasonal_jja,KAZ
2011,0.0,BA_Forest_NonForest,seasonal_jja,KAZ
2012,0.009000000000000001,BA_Forest_NonForest,seasonal_jja,KAZ
2013,0.005,BA_Forest_NonForest,seasonal_jja,KAZ
2014,0.011000000000000003,BA_Forest_NonForest,seasonal_jja,KAZ
2015,0.037000000000000005,BA_Forest_NonForest,seasonal_jja,KAZ
2016,0.0,BA_Forest_NonForest,seasonal_jja,KAZ
2017,0.002,BA_Forest_NonForest,seasonal_jja,KAZ
2018,0.006,BA_Forest_NonForest,seasonal_jja,KAZ
2019,0.002,BA_Forest_NonForest,seasonal_jja,KAZ
2020,0.043000000000000003,BA_Forest_NonForest,seasonal_jja,KAZ
2021,0.099,BA_Forest_NonForest,seasonal_jja,KAZ
2022,0.065,BA_Forest_NonForest,seasonal_jja,KAZ
2023,0.0,BA_Forest_NonForest,seasonal_jja,KAZ
