year,sum,variable,timescale,country
2001,0.0,BA_Forest_NonForest,seasonal_jja,POL
2002,0.008,BA_Forest_NonForest,seasonal_jja,POL
2003,0.002,BA_Forest_NonForest,seasonal_jja,POL
2004,0.002,BA_Forest_NonForest,seasonal_jja,POL
2005,0.0,BA_Forest_NonForest,seasonal_jja,POL
2006,0.006,BA_Forest_NonForest,seasonal_jja,POL
2007,0.0,BA_Forest_NonForest,seasonal_jja,POL
2008,0.01,BA_Forest_NonForest,seasonal_jja,POL
2009,0.0,BA_Forest_NonForest,seasonal_jja,POL
2010,0.006,BA_Forest_NonForest,seasonal_jja,POL
2011,0.0,BA_Forest_NonForest,seasonal_jja,POL
2012,0.001,BA_Forest_NonForest,seasonal_jja,POL
2013,0.0,BA_Forest_NonForest,seasonal_jja,POL
2014,0.0,BA_Forest_NonForest,seasonal_jja,POL
2015,0.006,BA_Forest_NonForest,seasonal_jja,POL
2016,0.001,BA_Forest_NonForest,seasonal_jja,POL
2017,0.0,BA_Forest_NonForest,seasonal_jja,POL
2018,0.002,BA_Forest_NonForest,seasonal_jja,POL
2019,0.0,BA_Forest_NonForest,seasonal_jja,POL
2020,0.0,BA_Forest_NonForest,seasonal_jja,POL
2021,0.0,BA_Forest_NonForest,seasonal_jja,POL
2022,0.001,BA_Forest_NonForest,seasonal_jja,POL
2023,0.0,BA_Forest_NonForest,seasonal_jja,POL
