year,sum,variable,timescale,region
2001,0.09100000000000001,BA_Forest_NonForest,seasonal_jja,VN
2002,0.15500000000000003,BA_Forest_NonForest,seasonal_jja,VN
2003,0.162,BA_Forest_NonForest,seasonal_jja,VN
2004,0.177,BA_Forest_NonForest,seasonal_jja,VN
2005,0.139,BA_Forest_NonForest,seasonal_jja,VN
2006,0.081,BA_Forest_NonForest,seasonal_jja,VN
2007,0.132,BA_Forest_NonForest,seasonal_jja,VN
2008,0.23300000000000004,BA_Forest_NonForest,seasonal_jja,VN
2009,0.113,BA_Forest_NonForest,seasonal_jja,VN
2010,0.16600000000000004,BA_Forest_NonForest,seasonal_jja,VN
2011,0.409,BA_Forest_NonForest,seasonal_jja,VN
2012,1.4809999999999999,BA_Forest_NonForest,seasonal_jja,VN
2013,0.512,BA_Forest_NonForest,seasonal_jja,VN
2014,0.9230000000000002,BA_Forest_NonForest,seasonal_jja,VN
2015,1.516,BA_Forest_NonForest,seasonal_jja,VN
2016,1.7630000000000001,BA_Forest_NonForest,seasonal_jja,VN
2017,0.48100000000000004,BA_Forest_NonForest,seasonal_jja,VN
2018,0.42100000000000004,BA_Forest_NonForest,seasonal_jja,VN
2019,1.096,BA_Forest_NonForest,seasonal_jja,VN
2020,0.26,BA_Forest_NonForest,seasonal_jja,VN
2021,0.49800000000000005,BA_Forest_NonForest,seasonal_jja,VN
2022,0.21500000000000005,BA_Forest_NonForest,seasonal_jja,VN
2023,0.0,BA_Forest_NonForest,seasonal_jja,VN
