year,sum,variable,timescale,country
2001,5.510999999999999,BA_Forest_NonForest,seasonal_mam,COL
2002,1.1849999999999998,BA_Forest_NonForest,seasonal_mam,COL
2003,12.255,BA_Forest_NonForest,seasonal_mam,COL
2004,3.226,BA_Forest_NonForest,seasonal_mam,COL
2005,5.2379999999999995,BA_Forest_NonForest,seasonal_mam,COL
2006,2.7969999999999997,BA_Forest_NonForest,seasonal_mam,COL
2007,6.986,BA_Forest_NonForest,seasonal_mam,COL
2008,5.315000000000001,BA_Forest_NonForest,seasonal_mam,COL
2009,2.987,BA_Forest_NonForest,seasonal_mam,COL
2010,0.555,BA_Forest_NonForest,seasonal_mam,COL
2011,0.6890000000000001,BA_Forest_NonForest,seasonal_mam,COL
2012,2.7700000000000005,BA_Forest_NonForest,seasonal_mam,COL
2013,1.4600000000000002,BA_Forest_NonForest,seasonal_mam,COL
2014,2.607,BA_Forest_NonForest,seasonal_mam,COL
2015,6.078,BA_Forest_NonForest,seasonal_mam,COL
2016,4.638,BA_Forest_NonForest,seasonal_mam,COL
2017,0.8530000000000001,BA_Forest_NonForest,seasonal_mam,COL
2018,3.3300000000000005,BA_Forest_NonForest,seasonal_mam,COL
2019,7.3100000000000005,BA_Forest_NonForest,seasonal_mam,COL
2020,11.543999999999999,BA_Forest_NonForest,seasonal_mam,COL
2021,2.122,BA_Forest_NonForest,seasonal_mam,COL
2022,4.003,BA_Forest_NonForest,seasonal_mam,COL
2023,3.2489999999999997,BA_Forest_NonForest,seasonal_mam,COL
