year,sum,variable,timescale,region
2001,0.184,BA_Forest_NonForest,seasonal_mam,DO
2002,0.004,BA_Forest_NonForest,seasonal_mam,DO
2003,0.23500000000000001,BA_Forest_NonForest,seasonal_mam,DO
2004,0.094,BA_Forest_NonForest,seasonal_mam,DO
2005,1.286,BA_Forest_NonForest,seasonal_mam,DO
2006,0.137,BA_Forest_NonForest,seasonal_mam,DO
2007,0.117,BA_Forest_NonForest,seasonal_mam,DO
2008,0.21500000000000002,BA_Forest_NonForest,seasonal_mam,DO
2009,0.11699999999999999,BA_Forest_NonForest,seasonal_mam,DO
2010,0.292,BA_Forest_NonForest,seasonal_mam,DO
2011,0.16699999999999998,BA_Forest_NonForest,seasonal_mam,DO
2012,0.069,BA_Forest_NonForest,seasonal_mam,DO
2013,0.28300000000000003,BA_Forest_NonForest,seasonal_mam,DO
2014,0.084,BA_Forest_NonForest,seasonal_mam,DO
2015,0.357,BA_Forest_NonForest,seasonal_mam,DO
2016,0.001,BA_Forest_NonForest,seasonal_mam,DO
2017,0.005,BA_Forest_NonForest,seasonal_mam,DO
2018,0.05600000000000001,BA_Forest_NonForest,seasonal_mam,DO
2019,0.097,BA_Forest_NonForest,seasonal_mam,DO
2020,0.019000000000000003,BA_Forest_NonForest,seasonal_mam,DO
2021,0.056999999999999995,BA_Forest_NonForest,seasonal_mam,DO
2022,0.003,BA_Forest_NonForest,seasonal_mam,DO
2023,0.445,BA_Forest_NonForest,seasonal_mam,DO
