year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,seasonal_mam,HR
2002,0.05,BA_Forest_NonForest,seasonal_mam,HR
2003,0.003,BA_Forest_NonForest,seasonal_mam,HR
2004,0.049,BA_Forest_NonForest,seasonal_mam,HR
2005,0.068,BA_Forest_NonForest,seasonal_mam,HR
2006,0.001,BA_Forest_NonForest,seasonal_mam,HR
2007,0.041999999999999996,BA_Forest_NonForest,seasonal_mam,HR
2008,0.0,BA_Forest_NonForest,seasonal_mam,HR
2009,0.039,BA_Forest_NonForest,seasonal_mam,HR
2010,0.007,BA_Forest_NonForest,seasonal_mam,HR
2011,0.233,BA_Forest_NonForest,seasonal_mam,HR
2012,0.033,BA_Forest_NonForest,seasonal_mam,HR
2013,0.0,BA_Forest_NonForest,seasonal_mam,HR
2014,0.04,BA_Forest_NonForest,seasonal_mam,HR
2015,0.002,BA_Forest_NonForest,seasonal_mam,HR
2016,0.036,BA_Forest_NonForest,seasonal_mam,HR
2017,0.043000000000000003,BA_Forest_NonForest,seasonal_mam,HR
2018,0.0,BA_Forest_NonForest,seasonal_mam,HR
2019,0.026,BA_Forest_NonForest,seasonal_mam,HR
2020,0.25,BA_Forest_NonForest,seasonal_mam,HR
2021,0.004,BA_Forest_NonForest,seasonal_mam,HR
2022,0.15100000000000002,BA_Forest_NonForest,seasonal_mam,HR
2023,0.0,BA_Forest_NonForest,seasonal_mam,HR
