year,sum,variable,timescale,country
2001,0.0,BA_Forest_NonForest,seasonal_mam,MDA
2002,0.0,BA_Forest_NonForest,seasonal_mam,MDA
2003,0.0,BA_Forest_NonForest,seasonal_mam,MDA
2004,0.003,BA_Forest_NonForest,seasonal_mam,MDA
2005,0.0,BA_Forest_NonForest,seasonal_mam,MDA
2006,0.016,BA_Forest_NonForest,seasonal_mam,MDA
2007,0.032,BA_Forest_NonForest,seasonal_mam,MDA
2008,0.0,BA_Forest_NonForest,seasonal_mam,MDA
2009,0.004,BA_Forest_NonForest,seasonal_mam,MDA
2010,0.07,BA_Forest_NonForest,seasonal_mam,MDA
2011,0.040999999999999995,BA_Forest_NonForest,seasonal_mam,MDA
2012,0.013,BA_Forest_NonForest,seasonal_mam,MDA
2013,0.022000000000000002,BA_Forest_NonForest,seasonal_mam,MDA
2014,0.051,BA_Forest_NonForest,seasonal_mam,MDA
2015,0.013,BA_Forest_NonForest,seasonal_mam,MDA
2016,0.019,BA_Forest_NonForest,seasonal_mam,MDA
2017,0.009999999999999998,BA_Forest_NonForest,seasonal_mam,MDA
2018,0.009000000000000001,BA_Forest_NonForest,seasonal_mam,MDA
2019,0.007,BA_Forest_NonForest,seasonal_mam,MDA
2020,0.032,BA_Forest_NonForest,seasonal_mam,MDA
2021,0.0,BA_Forest_NonForest,seasonal_mam,MDA
2022,0.07200000000000001,BA_Forest_NonForest,seasonal_mam,MDA
2023,0.0,BA_Forest_NonForest,seasonal_mam,MDA
